parameter,value1,value2,value3
acc_test,0.5,0.4473684210526316,0.5526315789473685
acc_test1,0.5,0.4166666666666667,0.4166666666666667
acc_test2,0.3333333333333333,0.3333333333333333,0.5
acc_test3,0.6428571428571429,0.5714285714285714,0.7142857142857143
acc_train,0.925,0.9666666666666667,0.7583333333333333
acc_val,0.4838709677419355,0.3870967741935484,0.5161290322580645
best_index,540.0,408.0,0.0
best_score,0.575,0.5833333333333334,0.5833333333333334
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.6,0.5,0.5
cv,,,
f1score,0.48648648648648646,0.5116279069767442,0.45161290322580644
f1score1,0.5,0.5333333333333333,0.36363636363636365
f1score2,0.3333333333333333,0.42857142857142855,0.25
f1score3,0.6153846153846153,0.5714285714285714,0.6666666666666666
fn,11.0,9.0,13.0
fn1,5.0,4.0,6.0
fn2,3.0,2.0,4.0
fn3,3.0,3.0,3.0
fp,8.0,12.0,4.0
fp1,1.0,3.0,1.0
fp2,5.0,6.0,2.0
fp3,2.0,3.0,1.0
importance_type,split,split,split
lambda_l1,,,5
lambda_l2,,,5
learning_rate,0.001,0.002,0.001
max_depth,-1,-1,-1
metric,binary_logloss,binary_logloss,binary_logloss
min_child_samples,20,20,20
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,1100,1400,1200
n_jobs,-1,-1,-1
num_col,110.0,85.0,85.0
num_leaves,6,6,5
objective,binary,binary,binary
precision,0.5294117647058824,0.4782608695652174,0.6363636363636364
precision1,0.75,0.5714285714285714,0.6666666666666666
precision2,0.2857142857142857,0.3333333333333333,0.3333333333333333
precision3,0.6666666666666666,0.5714285714285714,0.8
random_state,42,42,42
recall,0.45,0.55,0.35
recall1,0.375,0.5,0.25
recall2,0.4,0.6,0.2
recall3,0.5714285714285714,0.5714285714285714,0.5714285714285714
reg_alpha,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0
roc,0.5027777777777778,0.4416666666666667,0.5638888888888889
roc1,0.5625,0.375,0.5
roc2,0.34285714285714286,0.37142857142857144,0.45714285714285713
roc3,0.6428571428571428,0.5714285714285714,0.7142857142857144
scale_pos_weight,1.0,1.5,1.0
scoring,,,
silent,warn,warn,warn
subsample,0.6,0.6,0.5
subsample_for_bin,200000,200000,200000
subsample_freq,0,0,0
tn,10.0,6.0,14.0
tn1,3.0,1.0,3.0
tn2,2.0,1.0,5.0
tn3,5.0,4.0,6.0
tp,9.0,11.0,7.0
tp1,3.0,4.0,2.0
tp2,2.0,3.0,1.0
tp3,4.0,4.0,4.0
