,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,5617,650,-6722,-500,-1986,-2576,-366,0,-354,-940,467,-12
1,2022-01-04,27772,-12534,-15062,-2003,-611,-4752,-6961,0,-595,-142,-245,68
2,2022-01-05,24165,-9508,-15748,-3418,-2315,-1970,-7087,-19,-942,2,997,94
3,2022-01-06,15320,-8408,-6528,-963,-330,-187,-4762,0,-285,0,-422,38
4,2022-01-07,3794,-1537,-2496,-1219,-1684,807,-80,0,-320,0,234,5
5,2022-01-10,26946,-16204,-11944,-516,-1227,-7938,-1283,0,-980,0,1170,33
6,2022-01-11,4881,-75,-4493,27,-112,-2795,-869,0,-745,0,-336,24
7,2022-01-12,2873,3295,-6226,574,18,101,-5663,0,-1256,0,-55,114
8,2022-01-13,-8369,4883,3788,-1968,4931,4343,-3570,0,52,0,-249,-53
9,2022-01-14,10202,-7149,-3055,-1015,928,-222,-2413,0,-325,-8,-10,12
10,2022-01-17,5096,-890,-4252,946,-282,-2152,-1877,0,-886,0,31,15
11,2022-01-18,1468,1941,-3408,-288,-956,363,-2142,0,-385,0,-50,50
12,2022-01-19,39835,-29007,-11923,1782,-2209,-4256,-5177,-107,-1956,0,1013,82
13,2022-01-20,13438,-10988,-3032,693,-506,-278,-2654,0,-288,0,560,22
14,2022-01-21,-14437,12655,1739,510,2266,-414,-1996,0,1373,0,20,23
15,2022-01-24,-6397,7588,-1097,3542,330,7,-4670,0,-306,0,-123,30
16,2022-01-25,5594,-2985,-2531,955,-663,-1806,-895,0,-61,-60,-100,22
17,2022-01-26,7253,-6814,-623,1140,-8,-107,-1508,0,-139,0,196,-13
18,2022-01-27,6728,-1774,-5707,308,-1303,-2337,-1448,-296,-591,-41,718,36
19,2022-01-28,44893,-26284,-20053,-847,-5047,-12062,-71,0,-1308,-719,1416,28
20,2022-02-03,19272,-19239,-599,415,-120,916,-1112,0,-698,0,183,383
21,2022-02-04,-6681,14305,-7884,-41,-792,-3870,-3089,8,-101,0,250,10
22,2022-02-07,-5216,7375,-2431,-1522,7,-1184,-121,0,411,-21,211,61
23,2022-02-08,-5778,13,5706,1928,617,822,2086,0,253,0,22,38
24,2022-02-09,167,-1067,882,2336,-639,-948,290,0,-158,0,32,-14
25,2022-02-10,-11960,14914,-2674,-1517,-47,-986,273,0,-378,-20,-315,36
26,2022-02-11,6786,-3198,-3766,-405,-609,203,-2880,-24,-52,0,158,20
27,2022-02-14,4166,-3157,-1027,979,49,429,-2457,0,-10,-17,11,7
28,2022-02-15,33077,-12629,-20654,53,-2726,-2755,-14735,0,-491,0,183,22
29,2022-02-16,-18443,22010,-4240,1089,87,-4096,-1295,0,-24,0,546,127
30,2022-02-17,-6835,8399,-1429,620,-337,710,-2026,0,-396,0,-47,-88
31,2022-02-18,-11944,10705,731,267,1948,562,-1733,0,-304,-7,511,-3
32,2022-02-21,573,-2041,1574,22,176,503,845,0,28,0,-86,-20
33,2022-02-22,-2975,1000,2569,154,50,-1067,3739,0,-305,-1,-581,-13
34,2022-02-23,-3698,-826,4540,823,549,432,2630,0,105,0,1,-17
35,2022-02-24,-1943,-728,2743,19,-19,478,2266,0,0,0,-85,12
36,2022-02-25,5060,-5490,54,928,89,34,-953,0,-43,0,380,-5
37,2022-02-28,-3801,-3097,7294,-656,2516,888,4543,0,3,0,-392,-3
38,2022-03-02,4834,-4245,-554,-588,56,-47,-64,0,102,-12,-40,6
39,2022-03-03,1629,-1253,-397,129,201,25,-799,0,46,0,21,-1
40,2022-03-04,13999,-10506,-3229,-1126,-55,-345,-1715,0,13,0,-272,7
41,2022-03-07,1550,-375,-1304,-523,-215,1469,-1928,0,-108,0,124,5
42,2022-03-08,6153,-3096,-2688,541,-724,-24,-2522,0,41,0,-384,15
43,2022-03-10,24080,-25818,1467,2658,-1535,-248,-513,0,1105,0,247,24
44,2022-03-11,9991,-7671,-2100,-167,-1072,309,-1161,0,-10,0,-238,17
45,2022-03-14,11208,-14943,3612,1455,61,-642,2612,0,152,-27,-20,143
46,2022-03-15,6814,-6988,-80,731,-1115,-1675,2003,0,-38,13,218,35
47,2022-03-16,-2139,-2183,4201,1438,338,70,2391,0,-36,0,104,16
48,2022-03-17,-4608,-6550,10377,1971,1425,-33,7412,0,-396,0,789,-9
49,2022-03-18,3871,-3178,-359,-462,278,42,-222,0,5,0,-355,20
50,2022-03-21,1849,-3366,756,-492,71,37,1038,0,101,0,747,14
51,2022-03-22,-2536,1673,718,1131,112,-74,-1215,0,-87,850,186,-41
52,2022-03-23,-2125,837,1012,1387,102,-1297,834,0,-14,0,283,-7
53,2022-03-24,424,435,-885,-819,-5,-49,-21,0,9,0,2,24
54,2022-03-25,-17904,10933,6437,-600,909,2054,3178,0,896,0,603,-69
55,2022-03-28,10342,-12095,1525,932,213,34,352,0,-6,0,206,22
56,2022-03-29,570,-3293,2793,1016,-37,335,1433,0,-22,67,-62,-9
57,2022-03-30,-1055,-1228,2275,1218,-127,-72,1260,0,-4,0,5,3
58,2022-03-31,-5726,2107,3607,-1002,569,-51,4167,0,-77,0,9,3
59,2022-04-01,3228,3140,-6389,-2284,20,-3746,-343,0,-36,0,42,-20
60,2022-04-04,-7780,3598,4241,141,917,462,2709,0,12,0,-36,-23
61,2022-04-05,8000,-8306,618,-1200,118,484,1208,0,7,0,-326,15
62,2022-04-06,4746,-1603,-3036,-2029,90,387,-1450,0,-35,0,-118,11
63,2022-04-07,1481,1398,-2341,-777,-124,688,-2112,0,-13,-3,-484,-54
64,2022-04-08,-17911,16590,1095,-1730,236,2990,-180,0,-221,0,324,-98
65,2022-04-11,5851,-8734,2809,660,172,496,1659,6,-185,0,38,36
66,2022-04-12,-1502,791,789,467,-48,461,21,0,-112,0,-58,-19
67,2022-04-13,6627,-6821,99,1648,-976,940,-1545,0,6,26,87,7
68,2022-04-14,2417,-4622,1767,-347,-1254,1818,865,0,432,252,395,42
69,2022-04-15,7592,-9134,696,-641,-273,2094,-612,0,128,0,863,-16
70,2022-04-18,7796,-6887,-1308,558,-2,-1195,-714,0,45,0,391,9
71,2022-04-19,-3682,-785,4721,875,-1,1742,2113,0,-7,0,-244,-10
72,2022-04-20,604,-38,-545,-607,386,951,-1085,0,-191,0,14,-36
73,2022-04-21,-15584,9997,5041,2156,2292,1272,-1161,0,-148,631,572,-27
74,2022-04-22,-3901,-6496,9426,802,6758,1776,-97,0,187,0,846,125
75,2022-04-25,-1327,-3232,4369,221,1593,1549,949,0,172,-114,151,39
76,2022-04-26,-20160,6395,14397,2515,1870,3229,5309,0,1473,0,-635,2
77,2022-04-27,2286,-8166,4763,4439,964,356,-709,0,41,-326,907,210
78,2022-04-28,9895,-9855,-321,-920,1355,800,-1943,0,-33,421,326,-45
79,2022-04-29,84,-3440,3471,755,1433,911,37,0,-90,427,-139,23
80,2022-05-02,2876,543,-1793,-286,829,-1076,-1179,2,-90,6,-1641,14
81,2022-05-03,-5611,5154,458,-752,388,1427,-531,0,-73,0,-12,11
82,2022-05-04,118,-1719,1296,-198,227,685,547,0,35,0,293,13
83,2022-05-06,4891,-1063,-3885,117,-1005,-991,-1794,0,-212,0,16,41
84,2022-05-09,8650,-6098,-1412,399,-134,-1328,-449,0,100,0,-1167,28
85,2022-05-10,3024,-2055,-1028,-925,-429,372,369,0,-415,0,62,-4
86,2022-05-11,2596,1488,-4104,-772,-3109,425,-612,-8,-28,0,14,6
87,2022-05-12,-3002,6290,-3248,-127,-970,-1128,-562,0,-461,0,-41,1
88,2022-05-13,-10720,8527,2138,1247,7,602,331,0,-40,-9,37,17
89,2022-05-16,1204,-1880,341,-554,-33,515,417,0,-4,0,319,16
90,2022-05-17,-6285,1769,4503,1005,-358,4065,-432,18,205,0,11,2
91,2022-05-18,-7512,8786,-1030,-1818,-51,873,113,0,-135,-12,-137,-108
92,2022-05-19,-3092,2833,246,-1237,312,1290,-170,9,43,0,0,13
