,date,open,high,low,close,close_cr,vol
0,2021-12-27,82500,82900,82200,82600,0.12,243474
1,2021-12-28,82800,83800,82300,83700,1.33,373939
2,2021-12-29,82300,82400,81500,81800,-2.27,399291
3,2021-12-30,81400,81800,80700,80900,-1.1,357548
4,2022-01-03,80900,81300,80500,81000,0.12,256607
5,2022-01-04,81000,82500,80600,82400,1.73,363062
6,2022-01-05,81300,82100,80800,81400,-1.21,429095
7,2022-01-06,80500,81400,80300,80800,-0.74,570752
8,2022-01-07,80500,82000,80300,81600,0.99,593241
9,2022-01-10,81400,81900,80300,80800,-0.98,402694
10,2022-01-11,80300,80800,78800,79500,-1.61,409770
11,2022-01-12,79900,82500,79600,82500,3.77,404563
12,2022-01-13,82900,84500,82300,82600,0.12,445294
13,2022-01-14,82500,83400,81500,82000,-0.73,256682
14,2022-01-17,81200,81900,79900,80500,-1.83,201597
15,2022-01-18,80900,81300,79000,79300,-1.49,224720
16,2022-01-19,78800,80200,77700,78100,-1.51,285099
17,2022-01-20,78800,79800,78600,79200,1.41,204484
18,2022-01-21,78600,79700,78100,79200,0.0,216400
19,2022-01-24,79200,79700,76200,76600,-3.28,333545
20,2022-01-25,76100,76600,73400,74400,-2.87,429846
21,2022-01-26,74400,75600,74300,75000,0.81,258489
22,2022-01-27,75000,76300,72000,72200,-3.73,472284
23,2022-01-28,73200,74500,71900,74000,2.49,393314
24,2022-02-03,74800,76300,74500,74600,0.81,225616
25,2022-02-04,75000,76500,74700,76300,2.28,249415
26,2022-02-07,77100,77100,75700,76200,-0.13,224120
27,2022-02-08,77200,78200,75600,76300,0.13,253899
28,2022-02-09,76600,77400,76400,77100,1.05,148035
29,2022-02-10,77200,78200,77000,77800,0.91,275077
30,2022-02-11,77000,77300,74400,75000,-3.6,645124
31,2022-02-14,73900,75700,73800,75500,0.67,364286
32,2022-02-15,75500,76100,75400,75500,0.0,215429
33,2022-02-16,76000,76700,75900,76300,1.06,189127
34,2022-02-17,76800,78200,76100,77000,0.92,281807
35,2022-02-18,76100,77900,76000,77200,0.26,208507
36,2022-02-21,75300,77200,75300,77200,0.0,215336
37,2022-02-22,76500,76700,75200,76200,-1.3,296202
38,2022-02-23,76900,76900,75200,75800,-0.52,184706
39,2022-02-24,75000,75200,72900,73700,-2.77,312305
40,2022-02-25,74300,75000,73800,74100,0.54,188551
41,2022-02-28,74000,75200,73400,75200,1.48,263755
42,2022-03-02,74900,75300,74000,74000,-1.6,210499
43,2022-03-03,73600,74500,72500,74100,0.14,287319
44,2022-03-04,74100,75500,73500,75100,1.35,262937
45,2022-03-07,73300,74400,73100,73200,-2.53,305662
46,2022-03-08,72900,73600,72400,73000,-0.27,242903
47,2022-03-10,74000,74400,73200,73600,0.82,273569
48,2022-03-11,73300,73800,73000,73600,0.0,197369
49,2022-03-14,73200,73700,72000,72400,-1.63,194752
50,2022-03-15,71900,71900,70500,70900,-2.07,287398
51,2022-03-16,71100,72500,70800,72500,2.26,290584
52,2022-03-17,73500,74300,73100,73800,1.79,257937
53,2022-03-18,73100,75500,73000,75300,2.03,387159
54,2022-03-21,75000,75400,73500,73600,-2.26,163982
55,2022-03-22,74100,74600,73700,74400,1.09,207271
56,2022-03-23,75100,75500,74700,75300,1.21,174000
57,2022-03-24,74500,75500,74500,75500,0.27,163016
58,2022-03-25,74800,75400,73900,74200,-1.72,203758
59,2022-03-28,73300,74900,73000,74600,0.54,250772
60,2022-03-29,75400,75600,74700,75100,0.67,173596
61,2022-03-30,75700,75700,74600,74800,-0.4,236561
62,2022-03-31,75300,76400,75000,76400,2.14,306621
63,2022-04-01,76500,77000,75400,76200,-0.26,237282
64,2022-04-04,75500,76100,74700,75500,-0.92,177793
65,2022-04-05,75200,75800,74700,75300,-0.26,128510
66,2022-04-06,75100,75900,74600,74800,-0.66,152048
67,2022-04-07,74000,74400,73100,73800,-1.34,207878
68,2022-04-08,74200,74600,73600,74500,0.95,140302
69,2022-04-11,74200,75600,74100,74900,0.54,155604
70,2022-04-12,74900,74900,72600,72900,-2.67,213766
71,2022-04-13,73500,74800,73000,74800,2.61,119235
72,2022-04-14,74600,75200,74200,74800,0.0,153254
73,2022-04-15,73700,74400,72900,73300,-2.01,146515
74,2022-04-18,72700,73400,72300,73100,-0.27,120298
75,2022-04-19,73300,73800,73000,73600,0.68,116000
76,2022-04-20,73300,75000,73300,74400,1.09,176968
77,2022-04-21,75100,75200,74200,75100,0.94,174414
78,2022-04-22,74200,74300,73600,73800,-1.73,168464
79,2022-04-25,73000,74000,72700,72800,-1.36,192840
80,2022-04-26,73400,73400,72400,72700,-0.14,185533
81,2022-04-27,71100,71700,70700,71400,-1.79,216299
82,2022-04-28,71900,73100,71500,73100,2.38,247673
83,2022-04-29,72600,73400,72500,73300,0.27,252247
84,2022-05-02,72700,73800,72600,73800,0.68,118119
85,2022-05-03,73100,74100,73100,73600,-0.27,120969
86,2022-05-04,73500,74500,73400,74000,0.54,151006
87,2022-05-06,73700,74000,72600,72800,-1.62,192431
88,2022-05-09,71900,73200,71800,71800,-1.37,128558
89,2022-05-10,72100,72200,69600,70900,-1.25,274237
90,2022-05-11,70200,71200,70100,70700,-0.28,168605
91,2022-05-12,70800,71200,69900,69900,-1.13,324238
92,2022-05-13,70800,75000,70700,75000,7.3,474540
93,2022-05-16,75000,75000,73700,74400,-0.8,157091
94,2022-05-17,74400,76600,74300,75300,1.21,237851
95,2022-05-18,75000,75900,74600,75200,-0.13,196858
96,2022-05-19,74200,75400,73500,74400,-1.06,263435
97,2022-05-20,74300,76900,74300,76000,2.15,235263
98,2022-05-23,75500,76200,74600,75400,-0.79,146725
99,2022-05-24,75100,76000,74600,75100,-0.4,148283
100,2022-05-25,76400,76400,74600,75400,0.4,121100
101,2022-05-26,74400,76000,73600,74000,-1.86,187473
102,2022-05-27,74800,75100,74000,74700,0.95,178710
103,2022-05-30,77400,82000,77200,81900,9.64,1023699
104,2022-05-31,81900,81900,80200,80200,-2.08,1117702
105,2022-06-02,82000,82000,79700,80200,0.0,341482
106,2022-06-03,80600,81100,80000,80100,-0.12,202543
107,2022-06-07,79900,80900,79500,80300,0.25,355128
108,2022-06-08,79700,81000,79600,80700,0.5,180525
109,2022-06-09,80400,81600,80100,81400,0.87,581520
110,2022-06-10,81300,81600,80400,80800,-0.74,302694
111,2022-06-13,79400,79800,77500,77800,-3.71,217420
112,2022-06-14,77400,77500,75600,77000,-1.03,251534
113,2022-06-15,76500,77200,75400,76200,-1.04,289979
114,2022-06-16,76800,79900,76700,77500,1.71,246087
115,2022-06-17,77000,78700,76100,78000,0.65,281782
116,2022-06-20,78000,78300,75300,75900,-2.69,216021
117,2022-06-21,77500,78600,76000,77600,2.24,295841
118,2022-06-22,77100,77700,75300,75600,-2.58,343081
119,2022-06-23,76700,77500,75600,75800,0.26,331946
120,2022-06-24,75500,77800,75500,76700,1.19,268252
121,2022-06-27,76800,79900,76700,79500,3.65,241476
122,2022-06-28,79600,81000,78900,81000,1.89,253770
123,2022-06-29,80300,80900,79100,79300,-2.1,283084
124,2022-06-30,79000,80000,77900,77900,-1.77,363380
125,2022-07-01,79000,80800,77800,78600,0.9,280501
126,2022-07-04,79100,79500,77300,78500,-0.13,227337
127,2022-07-05,79300,80900,78600,80800,2.93,262482
128,2022-07-06,79400,80900,77400,77800,-3.71,270194
129,2022-07-07,79600,79700,77300,78700,1.16,224909
130,2022-07-08,78200,79400,78200,78400,-0.38,201762
131,2022-07-11,78400,79200,77800,78300,-0.13,129487
132,2022-07-12,78400,79000,76500,76900,-1.79,166886
133,2022-07-13,77900,78400,76300,76800,-0.13,216291
134,2022-07-14,76200,77400,76000,76000,-1.04,225050
135,2022-07-15,76900,76900,74800,75900,-0.13,181131
136,2022-07-18,76100,77400,76000,76700,1.05,133526
137,2022-07-19,76300,78100,76200,77000,0.39,138665
138,2022-07-20,77800,78800,77100,78800,2.34,173732
139,2022-07-21,77500,78800,77000,77600,-1.52,186244
140,2022-07-22,77600,78600,77600,78300,0.9,169463
141,2022-07-25,78000,79200,77900,78700,0.51,118647
142,2022-07-26,78100,78900,77600,78800,0.13,88505
143,2022-07-27,79000,80000,78100,79900,1.4,130250
144,2022-07-28,79300,80500,79200,80500,0.75,156860
145,2022-07-29,80800,82000,80500,81100,0.75,183546
146,2022-08-01,80200,81700,80200,81100,0.0,211542
147,2022-08-02,80300,80500,78800,79800,-1.6,158585
148,2022-08-03,79300,80400,79200,80200,0.5,180948
149,2022-08-04,80200,80700,79600,80400,0.25,154300
150,2022-08-05,80900,81300,79900,80200,-0.25,90632
