,date,open,high,low,close,close_cr,vol
0,2021-12-27,80600,80600,79800,80200,-0.37,10783368
1,2021-12-28,80200,80400,79700,80300,0.12,18226325
2,2021-12-29,80200,80200,78500,78800,-1.87,19794795
3,2021-12-30,78900,79500,78100,78300,-0.63,14236700
4,2022-01-03,79400,79800,78200,78600,0.38,13502112
5,2022-01-04,78800,79200,78300,78700,0.13,12427416
6,2022-01-05,78800,79000,76400,77400,-1.65,25470640
7,2022-01-06,76700,77600,76600,76900,-0.65,12931954
8,2022-01-07,78100,78400,77400,78300,1.82,15163757
9,2022-01-10,78100,78100,77100,78000,-0.38,9947422
10,2022-01-11,78400,79000,78000,78900,1.15,13221123
11,2022-01-12,79500,79600,78600,78900,0.0,11000502
12,2022-01-13,79300,79300,77900,77900,-1.27,13889401
13,2022-01-14,77700,78100,77100,77300,-0.77,10096725
14,2022-01-17,77600,77800,76900,77500,0.26,8785122
15,2022-01-18,77600,77800,76600,77000,-0.65,9592788
16,2022-01-19,76500,76900,76100,76300,-0.91,10598290
17,2022-01-20,76200,76700,75900,76500,0.26,9708168
18,2022-01-21,75800,75800,74700,75600,-1.18,15774888
19,2022-01-24,75400,75800,74700,75100,-0.66,13691134
20,2022-01-25,74800,75000,73200,74000,-1.46,17766704
21,2022-01-26,73900,74400,73100,73300,-0.95,12976730
22,2022-01-27,73800,74000,71300,71300,-2.73,22274777
23,2022-01-28,71300,73700,71200,73300,2.81,21367447
24,2022-02-03,74900,74900,73300,73300,0.0,17744721
25,2022-02-04,74300,74600,73400,74000,0.95,12730034
26,2022-02-07,73500,73600,72400,73000,-1.35,14240838
27,2022-02-08,73800,74200,73000,73500,0.68,11736666
28,2022-02-09,74300,74700,74000,74700,1.63,9699122
29,2022-02-10,75600,75800,74700,75400,0.94,17746033
30,2022-02-11,75000,75500,74600,74900,-0.66,12205407
31,2022-02-14,74400,74500,73100,73700,-1.6,13993255
32,2022-02-15,74100,74200,73100,73700,0.0,9320365
33,2022-02-16,74600,74900,74200,74800,1.49,10767386
34,2022-02-17,75000,75600,74500,75000,0.27,13605382
35,2022-02-18,74600,74800,73700,74300,-0.93,10122226
36,2022-02-21,73200,74300,72600,74200,-0.13,10489717
37,2022-02-22,73000,73400,72800,73400,-1.08,11692469
38,2022-02-23,73800,73800,72800,73000,-0.54,10397964
39,2022-02-24,72300,72300,71300,71500,-2.05,15759283
40,2022-02-25,72100,72600,71900,71900,0.56,13168484
41,2022-02-28,71100,72100,71000,72100,0.28,17781783
42,2022-03-02,72300,72400,71500,71700,-0.55,12481430
43,2022-03-03,72300,73100,72200,72900,1.67,13232638
44,2022-03-04,72700,72700,71200,71500,-1.92,13409634
45,2022-03-07,70000,70600,69900,70100,-1.96,18617138
46,2022-03-08,68800,70000,68700,69500,-0.86,15828269
47,2022-03-10,70800,71200,70500,71200,2.45,21159248
48,2022-03-11,70500,70700,69700,70000,-1.69,15787655
49,2022-03-14,70000,70200,69600,70200,0.29,9040993
50,2022-03-15,69800,70100,69500,69500,-1.0,10258562
51,2022-03-16,70200,70500,69700,70400,1.29,10175750
52,2022-03-17,71200,71800,70900,71200,1.14,17646315
53,2022-03-18,70600,70900,70200,70700,-0.7,14410038
54,2022-03-21,70900,71000,69900,69900,-1.13,11169002
55,2022-03-22,69900,70500,69900,70300,0.57,9402666
56,2022-03-23,70600,71200,70300,70500,0.28,12398025
57,2022-03-24,69600,70300,69600,69800,-0.99,37943357
58,2022-03-25,70100,70200,69600,69800,0.0,12986010
59,2022-03-28,69500,69900,69200,69700,-0.14,12619289
60,2022-03-29,70000,70300,69800,70200,0.72,13686208
61,2022-03-30,70300,70500,69800,69900,-0.43,12670187
62,2022-03-31,69900,70200,69600,69600,-0.43,12510366
63,2022-04-01,69500,69500,69000,69100,-0.72,15916846
64,2022-04-04,68900,69300,68600,69300,0.29,11107905
65,2022-04-05,69400,69600,69100,69200,-0.14,8467248
66,2022-04-06,68600,68800,68500,68500,-1.01,15517308
67,2022-04-07,68500,68500,68000,68000,-0.73,20683327
68,2022-04-08,68100,68300,67700,67800,-0.29,15453191
69,2022-04-11,67800,68100,67400,67900,0.15,12263735
70,2022-04-12,67600,67700,67000,67000,-1.33,13924389
71,2022-04-13,67300,69000,67200,68700,2.54,17378619
72,2022-04-14,68700,68700,67500,67500,-1.75,16409494
73,2022-04-15,67200,67300,66500,66600,-1.33,13176415
74,2022-04-18,66500,67100,66100,66700,0.15,10119203
75,2022-04-19,67100,68000,67000,67300,0.9,12959434
76,2022-04-20,67000,67400,66500,67400,0.15,16693293
77,2022-04-21,67600,68300,67500,67700,0.45,12847448
78,2022-04-22,67200,67300,66700,67000,-1.03,11791478
79,2022-04-25,66500,66700,66300,66300,-1.04,11016474
80,2022-04-26,66400,66700,66100,66100,-0.3,12946923
81,2022-04-27,65400,65500,64900,65000,-1.66,18122084
82,2022-04-28,65400,65500,64500,64800,-0.31,16895527
83,2022-04-29,65100,67600,65000,67400,4.01,26190390
84,2022-05-02,66600,67600,66500,67300,-0.15,14106184
