,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2020-01-02,21980.0,-14050.0,-12570.0,-2598.0,-531.0,-9936.0,-22.0,50.0,355.0,112.0,4600.0,40.0
1,2020-01-03,42651.0,-27939.0,-21214.0,-13522.0,-687.0,-3659.0,-1735.0,-43.0,-1553.0,-17.0,6353.0,150.0
2,2020-01-06,2658.0,-1144.0,-5078.0,-9243.0,-563.0,1346.0,127.0,0.0,3266.0,-9.0,3571.0,-7.0
3,2020-01-07,13532.0,-5817.0,-11405.0,-2705.0,-1738.0,-6291.0,81.0,3.0,-755.0,0.0,3741.0,-51.0
4,2020-01-08,17848.0,-1415.0,-20996.0,-6117.0,-1014.0,-16321.0,2514.0,2.0,-3.0,-57.0,4562.0,0.0
5,2020-01-09,26041.0,8062.0,-37748.0,-33684.0,-1591.0,115.0,-73.0,-56.0,-2443.0,-17.0,3607.0,39.0
6,2020-01-10,11260.0,-11165.0,-4016.0,-3906.0,-887.0,3468.0,-649.0,-323.0,-1719.0,0.0,3896.0,25.0
7,2020-01-13,3621.0,-5405.0,-1392.0,-5615.0,-430.0,3681.0,-219.0,253.0,804.0,134.0,3131.0,45.0
8,2020-01-14,8024.0,-12096.0,486.0,-6301.0,4199.0,-168.0,1834.0,-3.0,894.0,32.0,3529.0,57.0
9,2020-01-15,8151.0,-19758.0,7650.0,-1178.0,1057.0,6723.0,613.0,-140.0,521.0,54.0,3946.0,11.0
10,2020-01-16,-6826.0,-9680.0,12265.0,-4959.0,10188.0,619.0,1344.0,-254.0,5131.0,196.0,4317.0,-77.0
11,2020-01-17,6192.0,-4544.0,-5535.0,-4259.0,1167.0,-2930.0,338.0,118.0,-46.0,76.0,3850.0,37.0
12,2020-01-20,3943.0,-5892.0,-1955.0,-1294.0,-178.0,-2566.0,696.0,674.0,272.0,440.0,3883.0,20.0
13,2020-01-21,7820.0,-15210.0,3981.0,1074.0,1648.0,-1140.0,1940.0,32.0,428.0,-1.0,3411.0,-2.0
14,2020-01-22,-61953.0,29900.0,32237.0,11015.0,7394.0,-8727.0,16609.0,123.0,5408.0,414.0,-240.0,56.0
15,2020-01-23,-52351.0,20005.0,28386.0,-8109.0,10410.0,5960.0,14828.0,606.0,4652.0,40.0,3744.0,216.0
16,2020-01-28,-14343.0,7792.0,2978.0,2907.0,406.0,-1158.0,-29.0,192.0,621.0,39.0,3511.0,62.0
17,2020-01-29,-9550.0,24436.0,-19020.0,-16652.0,4464.0,-5480.0,-1694.0,-12.0,782.0,-428.0,4022.0,112.0
18,2020-01-30,-7733.0,4631.0,-1423.0,-2338.0,714.0,6603.0,-5797.0,-106.0,-324.0,-175.0,4614.0,-88.0
19,2020-01-31,-7256.0,16955.0,-13727.0,-3212.0,935.0,-12186.0,-526.0,-79.0,1345.0,-5.0,4086.0,-58.0
20,2020-02-03,-6480.0,-1840.0,1455.0,951.0,-1492.0,8065.0,-5988.0,-76.0,43.0,-49.0,6854.0,12.0
21,2020-02-04,1755.0,17848.0,-23829.0,-14272.0,-2.0,-6009.0,-3186.0,-531.0,-307.0,477.0,4153.0,73.0
22,2020-02-05,-2110.0,17376.0,-19515.0,-16019.0,1589.0,-5590.0,1099.0,126.0,-720.0,0.0,4156.0,93.0
23,2020-02-06,-21354.0,5740.0,13451.0,1567.0,1312.0,4838.0,5954.0,-33.0,-280.0,93.0,2242.0,-79.0
24,2020-02-07,2614.0,3162.0,-8806.0,-6105.0,-2470.0,1658.0,-669.0,0.0,-1230.0,9.0,3038.0,-9.0
25,2020-02-10,-2589.0,952.0,-4291.0,-4826.0,-1102.0,4793.0,-2931.0,11.0,-268.0,32.0,5787.0,141.0
26,2020-02-11,-13647.0,-14997.0,20681.0,8592.0,485.0,15181.0,-2511.0,-68.0,-985.0,-13.0,8152.0,-188.0
27,2020-02-12,-19084.0,27653.0,-12801.0,-1787.0,-4248.0,-5314.0,-1761.0,29.0,272.0,7.0,4221.0,12.0
28,2020-02-13,22011.0,5943.0,-31251.0,-1785.0,-2060.0,-25725.0,-582.0,-5.0,-1094.0,0.0,3186.0,111.0
29,2020-02-14,-1815.0,-4620.0,1625.0,-2002.0,446.0,3721.0,-203.0,-806.0,497.0,-27.0,4387.0,423.0
