,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,-266,3932,-3568,-1675,-1,-1867,-165,0,137,4,-126,28
1,2022-01-04,-19718,11000,8791,1721,5068,87,1370,422,116,7,-57,-15
2,2022-01-05,-2849,-2361,5173,-2400,2318,1598,2259,19,299,1080,68,-31
3,2022-01-06,-19687,12105,7941,2087,2261,1079,1150,-374,1738,0,-286,-73
4,2022-01-07,-14269,5775,8515,-741,3675,1998,1531,-197,2249,0,-32,11
5,2022-01-10,-1885,-7745,9226,-1489,2522,2685,6114,0,-606,0,412,-8
6,2022-01-11,1408,-589,-1342,1780,-1197,-546,-1117,34,-315,19,431,92
7,2022-01-12,-6345,-2221,8093,2977,161,2938,2250,0,-233,0,425,48
8,2022-01-13,2512,-2717,233,-491,70,602,-235,0,286,0,-29,2
9,2022-01-14,-1260,2712,-1470,-1176,52,444,-140,0,-628,-23,17,1
10,2022-01-17,1434,235,-1904,-272,309,-704,-518,-180,-478,-60,242,-7
11,2022-01-18,3830,767,-4460,-462,-584,-2544,-646,0,-223,0,-184,46
12,2022-01-19,-11323,3253,8303,3668,1187,-70,1605,-188,2100,0,-198,-34
13,2022-01-20,19217,-14107,-5109,213,-2647,-2713,689,-33,-576,-42,-127,127
14,2022-01-21,7520,-2169,-5453,-780,-950,-2128,-143,14,-1468,0,103,0
15,2022-01-24,-278,-1515,1746,2650,625,-1641,250,0,-217,80,2,45
16,2022-01-25,1917,3353,-5351,-2943,-57,-2566,233,13,-31,0,80,2
17,2022-01-26,-3753,3791,-97,1095,-304,-935,431,-3,-309,-72,35,23
18,2022-01-27,5390,-117,-5545,-796,-706,-3561,39,-30,-433,-58,273,-1
19,2022-01-28,-1859,-7239,8874,272,2169,4034,883,14,1501,0,221,5
20,2022-02-03,3947,-6997,3082,365,71,3503,-935,0,80,0,-70,38
21,2022-02-04,-8135,679,7461,2094,-441,4757,1181,-15,-115,0,1,-6
22,2022-02-07,5988,-3193,-2798,-2620,-290,159,-577,0,530,0,-3,5
23,2022-02-08,5459,2955,-8405,93,-2595,-4707,-425,0,-771,0,-41,32
24,2022-02-09,11833,2168,-14040,123,-3980,-6439,-2116,60,-1689,0,33,6
25,2022-02-10,-2530,7260,-4787,-1720,-1662,-1177,-72,0,-155,0,30,27
26,2022-02-11,7700,-2879,-4825,-1358,-860,-2398,-66,0,-143,0,18,-13
27,2022-02-14,-11152,8195,2759,-757,3103,379,329,0,-295,0,275,-77
28,2022-02-15,15356,-10762,-4601,59,-221,-981,-3155,0,-304,0,-41,48
29,2022-02-16,9771,-4820,-4972,-874,-779,-3914,999,-103,-301,0,10,11
30,2022-02-17,3869,6549,-10142,-480,-329,-6305,-2112,0,-916,0,-252,-24
31,2022-02-18,20963,-2929,-17887,-2931,-4050,-7374,-1520,13,-2025,0,-219,72
32,2022-02-21,8304,-3721,-4638,-632,-1079,-1890,-863,0,-174,0,39,15
33,2022-02-22,3816,-1786,-2129,-959,-1039,543,-376,13,-201,-110,190,-90
34,2022-02-23,2909,1226,-4257,597,-1693,-2091,-316,0,-735,-21,89,33
35,2022-02-24,-1466,2721,-1238,-291,-386,-1652,943,156,-9,0,-135,118
36,2022-02-25,-1338,363,1049,496,-299,1343,-194,0,-297,0,-92,18
37,2022-02-28,-3874,2839,1153,-997,124,2059,-73,0,40,0,-63,-55
38,2022-03-02,-27555,12364,15253,1330,1601,8487,2899,-14,951,0,-24,-38
39,2022-03-03,16935,-12145,-6205,4672,-3377,-4723,-3735,-32,991,0,1533,-118
