,date,open,high,low,close,close_cr,vol
0,2021-12-27,21500,21550,21400,21450,-0.23,1488944
1,2021-12-28,22450,23100,22300,22500,4.9,9138124
2,2021-12-29,22550,22600,22100,22100,-1.78,2178739
3,2021-12-30,22200,22300,22050,22100,0.0,1150008
4,2022-01-03,22350,22450,22100,22350,1.13,1211491
5,2022-01-04,22250,22250,21850,22000,-1.57,1716725
6,2022-01-05,21850,21900,21650,21800,-0.91,1563585
7,2022-01-06,21600,21750,21400,21450,-1.61,1544853
8,2022-01-07,21450,21700,21350,21650,0.93,896229
9,2022-01-10,21600,21750,21500,21500,-0.69,798666
10,2022-01-11,21450,21600,21400,21500,0.0,965545
11,2022-01-12,21500,21750,21500,21700,0.93,863422
12,2022-01-13,21700,21950,21650,21950,1.15,1618586
13,2022-01-14,21650,21700,21400,21400,-2.51,1359265
14,2022-01-17,21350,21400,21150,21300,-0.47,845481
15,2022-01-18,21300,21500,20900,20900,-1.88,1430100
16,2022-01-19,20750,21100,20700,20950,0.24,1042478
17,2022-01-20,21100,21250,20900,21050,0.48,838117
18,2022-01-21,21000,21250,20950,21250,0.95,761407
19,2022-01-24,21250,21350,20900,21000,-1.18,1013934
20,2022-01-25,20950,21000,20450,20650,-1.67,1741223
21,2022-01-26,20600,20900,20550,20750,0.48,988716
22,2022-01-27,20800,20850,20100,20100,-3.13,1847767
23,2022-01-28,20150,20600,20050,20600,2.49,1193905
24,2022-02-03,20750,21250,20750,21100,2.43,1381863
25,2022-02-04,20900,21450,20900,21400,1.42,941008
26,2022-02-07,21650,21950,21500,21900,2.34,2156846
27,2022-02-08,21950,22450,21900,22250,1.6,2395019
28,2022-02-09,22350,22400,21950,22200,-0.22,1351941
29,2022-02-10,22200,22950,22050,22950,3.38,1996013
30,2022-02-11,22650,22750,22300,22500,-1.96,1654337
31,2022-02-14,22250,22350,21950,22200,-1.33,1298876
32,2022-02-15,22200,22300,21600,21750,-2.03,1372398
33,2022-02-16,21900,22450,21850,22400,2.99,1247493
34,2022-02-17,22400,22450,21900,22150,-1.12,1405121
35,2022-02-18,21950,22750,21900,22600,2.03,1723932
36,2022-02-21,22400,22750,22200,22600,0.0,1438599
37,2022-02-22,22400,22550,22150,22450,-0.66,1196419
38,2022-02-23,22450,22550,22250,22400,-0.22,788222
39,2022-02-24,22200,22500,21950,22300,-0.45,1611073
40,2022-02-25,22300,22350,21750,21800,-2.24,2221135
41,2022-02-28,22700,23400,22600,23200,6.42,7754604
42,2022-03-02,23250,23550,23000,23150,-0.22,2804310
43,2022-03-03,23450,24350,23300,24100,4.1,5832722
44,2022-03-04,24050,24250,23800,24000,-0.41,2142944
45,2022-03-07,23750,24000,23150,23350,-2.71,2532895
46,2022-03-08,22950,23800,22700,23500,0.64,2536642
47,2022-03-10,24700,24800,24000,24400,3.83,6439313
48,2022-03-11,24400,24900,23900,24750,1.43,3853185
49,2022-03-14,24800,25100,24400,24550,-0.81,3236389
50,2022-03-15,24450,24700,24150,24500,-0.2,1747505
51,2022-03-16,24750,24750,24300,24650,0.61,1837199
52,2022-03-17,24600,24650,24050,24250,-1.62,2870497
53,2022-03-18,24100,24150,23850,24000,-1.03,2384834
54,2022-03-21,23600,23700,22750,22800,-5.0,4683016
55,2022-03-22,22800,23200,22800,23050,1.1,1790985
56,2022-03-23,23100,23200,22900,23100,0.22,1391015
57,2022-03-24,23000,23450,22850,23050,-0.22,1722081
58,2022-03-25,23100,23100,22800,23050,0.0,1235465
59,2022-03-28,22950,23350,22800,23200,0.65,1277510
60,2022-03-29,23000,23000,22550,22550,-2.8,2965834
61,2022-03-30,22550,22850,22550,22700,0.67,1420687
62,2022-03-31,22700,22800,22600,22650,-0.22,1418439
63,2022-04-01,22800,23200,22800,22950,1.32,2050489
64,2022-04-04,23000,23300,22950,23250,1.31,1483290
65,2022-04-05,23100,23200,22900,23000,-1.08,907290
66,2022-04-06,22950,23100,22700,22750,-1.09,1444912
67,2022-04-07,22650,22700,22000,22000,-3.3,2653902
68,2022-04-08,22100,22200,22000,22050,0.23,1169553
69,2022-04-11,21950,22000,21650,21900,-0.68,1226156
70,2022-04-12,21750,22000,21600,21600,-1.37,1231184
71,2022-04-13,21750,22150,21700,22100,2.31,944961
72,2022-04-14,22100,22250,21900,21900,-0.9,1440492
73,2022-04-15,21900,22000,21700,21750,-0.68,1031359
74,2022-04-18,21750,22050,21500,21850,0.46,832346
75,2022-04-19,21850,21900,21700,21700,-0.69,1073335
76,2022-04-20,21750,21750,21300,21300,-1.84,1954164
77,2022-04-21,21400,21700,21350,21700,1.88,1165018
78,2022-04-22,21550,21650,21450,21450,-1.15,925472
79,2022-04-25,21250,21450,21200,21200,-1.17,955650
80,2022-04-26,21250,21400,21200,21350,0.71,677273
81,2022-04-27,21100,21300,21000,21050,-1.41,1137850
82,2022-04-28,21100,22850,21000,22850,8.55,4564319
83,2022-04-29,22900,23200,22500,23100,1.09,3734896
84,2022-05-02,22800,22900,22350,22450,-2.81,1675693
85,2022-05-03,22450,22700,22050,22150,-1.34,1417375
86,2022-05-04,22300,23200,22250,22950,3.61,3530400
87,2022-05-06,22750,23150,22550,22850,-0.44,1541536
88,2022-05-09,22900,23300,22500,22600,-1.09,1894610
89,2022-05-10,22500,23100,22400,22600,0.0,2432111
90,2022-05-11,22350,22550,22050,22100,-2.21,1501002
91,2022-05-12,22100,22500,22050,22250,0.68,1739919
