,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-03,-31574,30068,1252,-4280,2271,3431,-170,0,0,0,279,-24
3,2022-01-04,24871,-15111,-9684,-10090,-18,482,56,0,-23,-89,-182,106
4,2022-01-05,62381,-46584,-17066,-10714,-3152,-2062,-174,-315,-602,-48,644,625
5,2022-01-06,22690,-15296,-8003,-3744,-1592,871,-1010,-69,-2344,-116,1328,-719
6,2022-01-07,2603,-6185,2574,-1684,-1537,8265,-646,0,-1825,0,1050,-42
7,2022-01-08,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-01-10,2162,-8106,7068,522,828,5307,834,19,-442,0,-1123,0
10,2022-01-11,13799,-2074,-12198,3096,400,-5107,-9996,0,-592,0,458,16
11,2022-01-12,-9771,-936,9818,10214,1396,-691,-536,0,-570,6,781,107
12,2022-01-13,782,25239,-26679,-11500,-237,-15144,1165,0,-963,0,652,7
13,2022-01-14,42546,-34909,-8422,-5527,89,2787,-5669,0,-31,-72,875,-90
14,2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-01-17,-8874,3150,6073,2438,89,1819,1778,0,-50,0,-347,-2
17,2022-01-18,5816,-1282,-5063,458,-585,-351,-3886,0,-554,-145,515,14
18,2022-01-19,-3498,-19470,22760,2525,3866,10775,4485,-142,1252,0,219,-12
19,2022-01-20,13270,-13640,380,2984,360,-2117,-1199,0,352,0,44,-54
20,2022-01-21,13564,-17297,3718,2262,550,-1857,2969,0,-207,0,-23,38
21,2022-01-22,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-01-24,-3425,2756,868,7544,614,-1966,-5230,9,26,-130,-141,-57
24,2022-01-25,-1298,-6553,6363,1197,3180,2934,-751,452,-648,0,1346,142
25,2022-01-26,-2959,-828,3576,1960,97,2357,-325,-75,-438,0,54,158
26,2022-01-27,6000,3284,-9074,-1196,29,-7405,624,-17,-1015,-94,-221,10
27,2022-01-28,-4677,6299,-1773,-613,268,-147,-693,-171,-330,-87,137,13
28,2022-01-29,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-01-30,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0
31,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-02-03,8447,-1233,-7535,-2553,-938,-1719,-1863,42,-503,0,163,158
34,2022-02-04,10224,10563,-21601,-3905,-1083,-3163,-13319,178,-253,-56,614,200
35,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-02-07,-6035,14797,-8690,-5259,-1434,974,-2929,0,-41,0,-103,31
38,2022-02-08,-44,-479,585,2251,949,-3619,1810,0,-812,5,-74,13
39,2022-02-09,811,-1383,997,2819,-33,-1347,-445,0,3,0,-244,-181
40,2022-02-10,4504,-8141,3090,-12602,199,6453,8408,17,615,0,457,89
41,2022-02-11,70653,-42680,-30213,-2196,-5631,-17486,-8,-1948,-2944,0,2182,59
42,2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-02-13,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-02-14,-10192,11787,-2727,494,-1432,-811,-269,0,-591,-118,1151,-18
45,2022-02-15,-16880,14209,3296,-67,923,3295,-582,0,-273,0,-646,21
46,2022-02-16,20973,14034,-35754,1518,-2979,-16105,-13219,0,-4936,-34,699,49
47,2022-02-17,-10491,14448,-3581,1913,-364,-3631,-392,0,-1107,0,-314,-61
48,2022-02-18,20640,886,-21212,-595,-3104,-7927,-8444,-32,-1052,-58,-356,42
49,2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0
50,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-02-21,13420,-3713,-9246,-1012,-1379,-740,-5285,0,-762,-69,-475,14
52,2022-02-22,39400,-28732,-12459,-2899,-1732,-5702,-248,326,-1686,-518,1834,-43
53,2022-02-23,7156,-12287,6072,1895,361,2174,2024,0,-465,84,-948,7
54,2022-02-24,-4837,14569,-10029,-1580,-644,-8633,557,14,256,0,241,57
55,2022-02-25,24840,-23001,-1608,2357,-752,-3995,1473,0,-691,0,-332,100
56,2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0
57,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-02-28,964,1070,-2453,-952,-90,-3082,1789,0,-118,0,380,40
59,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-03-02,1004,-456,-813,44,921,-2276,114,0,384,0,281,-16
61,2022-03-03,3633,-1919,-1956,533,-491,-423,-597,0,-978,0,262,-21
62,2022-03-04,55687,-40283,-16383,-1799,-1895,-10567,-2049,64,-140,2,899,80
63,2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0
64,2022-03-06,0,0,0,0,0,0,0,0,0,0,0,0
65,2022-03-07,5221,-5058,160,-2134,-373,2742,-97,120,-88,-9,-354,32
66,2022-03-08,-11285,7897,4556,1048,679,2191,361,-129,407,0,-1177,9
67,2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-03-10,-22916,4186,18710,-5884,1419,20988,1699,-45,571,-39,12,9
69,2022-03-11,2934,-10941,7071,-1620,758,6162,125,0,1668,-23,908,27
70,2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-03-14,11917,-13105,426,-829,364,479,259,0,153,0,724,37
73,2022-03-15,847,-1912,1067,651,-1812,2287,-89,0,30,0,-28,26
74,2022-03-16,10024,-6027,-4009,1559,97,-5381,-19,0,-265,0,-3,15
75,2022-03-17,-14664,-3277,16676,2106,5300,5963,1333,126,1848,0,1244,20
76,2022-03-18,9119,-11931,2564,-471,119,-15,2009,0,921,0,152,96
77,2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0
78,2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0
79,2022-03-21,18506,-19291,951,-957,210,1437,176,0,81,5,-190,24
80,2022-03-22,7402,-7841,406,1925,275,-1270,-709,0,185,0,-17,51
81,2022-03-23,344,-5066,4529,2069,642,1638,6,0,174,0,205,-11
82,2022-03-24,9677,-4199,-5758,-3177,-44,-571,-2131,0,164,0,81,199
83,2022-03-25,195,1413,-1402,-1141,348,-779,-6,0,175,0,-115,-91
84,2022-03-26,0,0,0,0,0,0,0,0,0,0,0,0
85,2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0
86,2022-03-28,1790,-494,-1384,-211,-885,200,-553,2,62,0,-13,102
87,2022-03-29,-3212,-879,4132,3833,-258,1496,-875,0,-90,25,-41,0
88,2022-03-30,-4079,-700,4353,4674,366,41,208,0,-935,0,283,143
89,2022-03-31,1373,-7590,6340,1898,-35,4340,177,0,-39,0,120,-244
90,2022-04-01,3250,1462,-5315,-4763,17,-602,-649,0,676,7,563,40
91,2022-04-02,0,0,0,0,0,0,0,0,0,0,0,0
92,2022-04-03,0,0,0,0,0,0,0,0,0,0,0,0
93,2022-04-04,-9792,-662,9296,1642,397,5721,1685,0,-148,0,1161,-3
94,2022-04-05,-2811,-10258,13140,1458,602,7027,3881,0,179,-6,-11,-60
95,2022-04-06,9117,-3189,-5852,-2462,193,-3188,-789,0,394,0,-86,11
96,2022-04-07,6281,-5531,-833,-77,-146,-2192,1783,12,-180,-33,68,14
97,2022-04-08,4102,-2961,-1212,1914,260,-3918,691,0,-158,0,141,-70
98,2022-04-09,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0
100,2022-04-11,-239,941,-724,-109,-772,66,1683,0,-1592,0,33,-11
101,2022-04-12,-5435,-4931,10388,950,2371,-454,6187,219,1109,7,-36,14
102,2022-04-13,-3450,-456,3965,2117,-494,1616,1214,1,-490,0,-54,-5
103,2022-04-14,13276,1840,-14959,-4633,616,-10313,-211,0,-418,0,-134,-23
104,2022-04-15,2307,2423,-4785,-2748,-534,2428,-2815,0,-1116,0,51,4
105,2022-04-16,0,0,0,0,0,0,0,0,0,0,0,0
106,2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0
107,2022-04-18,2899,-460,-2494,310,-68,-2612,111,0,-235,0,-8,63
108,2022-04-19,1165,-4576,3381,1877,-44,1726,-8,0,-169,0,21,8
109,2022-04-20,3135,-3020,-411,-1597,-229,-165,1936,0,-356,0,305,-9
110,2022-04-21,4329,-5136,1743,3387,-520,-667,-17,0,-440,0,-923,-13
111,2022-04-22,16472,-5373,-11327,-4935,-897,-4953,71,22,-668,34,150,78
112,2022-04-23,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0
114,2022-04-25,1860,-677,296,-283,46,536,-15,69,-57,0,-1624,146
115,2022-04-26,-6256,4764,1866,1504,457,-4329,4754,0,-520,0,-275,-99
116,2022-04-27,10534,-1104,-9207,31,-111,-3752,-5137,27,-428,164,-366,143
117,2022-04-28,2478,3232,-4692,-432,296,-4367,17,35,-320,79,-968,-50
118,2022-04-29,-1292,33,1747,3028,-24,-1486,342,0,-113,0,-160,-329
119,2022-04-30,0,0,0,0,0,0,0,0,0,0,0,0
120,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0
121,2022-05-02,-4840,1563,4721,-305,1034,2985,206,67,530,204,-1358,-85
122,2022-05-03,-6686,577,6167,-267,1414,1468,3225,9,317,0,-37,-20
123,2022-05-04,4980,-3795,-1247,459,325,-2155,-34,0,194,-36,54,8
124,2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-05-06,1521,-1886,339,-550,-25,795,142,0,-22,0,28,-2
126,2022-05-07,0,0,0,0,0,0,0,0,0,0,0,0
127,2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-05-09,-2608,-1051,3675,1855,-263,1783,81,39,139,41,0,-16
129,2022-05-10,6134,-4974,-1410,1880,-266,-2516,-292,4,-321,102,219,30
130,2022-05-11,908,425,-2038,-664,1135,-2127,-1207,0,824,0,709,-4
131,2022-05-12,10486,5756,-16307,-8498,429,-10310,2274,6,-182,-27,75,-10
132,2022-05-13,-43368,17601,26325,5295,2850,13080,590,97,4419,-6,-491,-67
133,2022-05-14,0,0,0,0,0,0,0,0,0,0,0,0
134,2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-05-16,7676,-11712,4072,1179,-11,5619,-2366,9,-280,-78,-38,3
136,2022-05-17,139,-30,-97,4387,-230,-4116,-123,0,0,-16,-54,43
137,2022-05-18,-14899,9048,5589,-1041,3006,1258,1208,1,1166,-9,261,1
138,2022-05-19,-1721,-2646,4153,-1155,1042,4639,-289,26,7,-116,212,2
139,2022-05-20,-25729,8122,17474,6101,1170,6575,3459,0,630,-461,187,-55
140,2022-05-21,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-05-22,0,0,0,0,0,0,0,0,0,0,0,0
142,2022-05-23,-6861,-3304,10326,4666,578,3375,1489,0,218,0,-135,-26
143,2022-05-24,-772,1073,-1395,-495,-417,-570,247,0,-159,0,1089,4
144,2022-05-25,-4331,-3987,8108,5260,1642,1022,-8,0,192,0,192,18
145,2022-05-26,-10828,6636,4264,1173,1814,-263,657,500,366,18,-7,-65
146,2022-05-27,1516,-3353,1795,3410,-80,-1919,178,-14,219,0,75,-32
147,2022-05-28,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-05-29,0,0,0,0,0,0,0,0,0,0,0,0
149,2022-05-30,-4659,502,4171,2531,1137,630,-219,0,92,0,-32,18
150,2022-05-31,1856,3110,-5022,-4627,115,-498,-275,0,263,0,60,-4
151,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-06-02,-711,5522,-4620,-4852,-301,1611,-1085,-18,26,-1,-196,5
153,2022-06-03,4963,-5737,1677,1476,5,-325,-174,633,62,0,-912,10
154,2022-06-04,0,0,0,0,0,0,0,0,0,0,0,0
155,2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0
156,2022-06-06,0,0,0,0,0,0,0,0,0,0,0,0
157,2022-06-07,3824,-1104,-2729,-4775,41,2219,-146,0,-68,0,-2,11
158,2022-06-08,-20588,10152,10886,151,5376,3251,1697,14,399,0,-362,-88
