,date,open,high,low,close,close_cr,vol
0,2021-12-27,57500,57600,56700,56700,-1.22,725512
1,2021-12-28,57200,57200,56500,56800,0.18,1454159
2,2021-12-29,55000,55500,54600,55400,-2.46,1160250
3,2021-12-30,55100,55600,54800,55000,-0.72,716768
4,2022-01-03,54900,55700,54800,55300,0.55,635124
5,2022-01-04,55800,56400,55600,56400,1.99,927067
6,2022-01-05,56400,57100,55800,56600,0.35,1429634
7,2022-01-06,56600,56900,55500,55800,-1.41,988985
8,2022-01-07,56000,56100,54800,55700,-0.18,1193940
9,2022-01-10,56100,58100,55900,57800,3.77,1944937
10,2022-01-11,58300,60000,58100,60000,3.81,3039380
11,2022-01-12,60100,62000,59600,61900,3.17,2905914
12,2022-01-13,62300,62300,61200,62300,0.65,1673509
13,2022-01-14,62000,63000,60700,62200,-0.16,1504980
14,2022-01-17,62000,62100,60800,61200,-1.61,1391788
15,2022-01-18,61300,62300,61000,61700,0.82,1148864
16,2022-01-19,61700,63400,61200,61900,0.32,1465535
17,2022-01-20,61900,61900,59300,59500,-3.88,1735684
18,2022-01-21,59500,60400,59300,60300,1.34,1622020
19,2022-01-24,60600,60700,57900,58800,-2.49,1241129
20,2022-01-25,57900,58400,56100,57100,-2.89,1693689
21,2022-01-26,58400,59200,57800,59100,3.5,1418196
22,2022-01-27,58300,59600,57200,58000,-1.86,1435153
23,2022-01-28,58500,59700,58000,59500,2.59,1509299
24,2022-02-03,60600,60700,59100,59400,-0.17,1640427
25,2022-02-04,60400,61000,59700,60900,2.53,1112228
26,2022-02-07,61300,61400,60200,61200,0.49,1267454
27,2022-02-08,62000,62000,60000,60700,-0.82,1029338
28,2022-02-09,62000,63800,61700,63800,5.11,2186169
29,2022-02-10,65200,65500,64000,65500,2.66,2290176
30,2022-02-11,64700,66400,63900,65800,0.46,1965423
31,2022-02-14,64700,65400,63400,64600,-1.82,1520041
32,2022-02-15,64500,65100,63600,64500,-0.15,964595
33,2022-02-16,64800,64900,63100,64600,0.16,1276072
34,2022-02-17,65200,65900,64600,65100,0.77,1244019
35,2022-02-18,63600,64300,63500,63700,-2.15,1161226
36,2022-02-21,62200,63500,62200,63300,-0.63,782688
37,2022-02-22,62700,62900,61300,62600,-1.11,1026730
38,2022-02-23,63500,63600,62200,62200,-0.64,833723
39,2022-02-24,61500,62200,60400,61000,-1.93,1169608
40,2022-02-25,60400,60600,58300,58900,-3.44,2233157
41,2022-02-28,59400,59700,58500,59700,1.36,2120246
42,2022-03-02,58600,58700,57000,57300,-4.02,2133467
43,2022-03-03,57600,58700,57600,58400,1.92,1362111
44,2022-03-04,57700,57800,56500,57500,-1.54,1282289
45,2022-03-07,56000,56300,54800,55000,-4.35,2223787
46,2022-03-08,53500,54100,53100,53200,-3.27,2705110
47,2022-03-10,54900,55100,54000,54600,2.63,2565468
48,2022-03-11,54400,55000,53900,55000,0.73,1769792
49,2022-03-14,54800,56300,54500,55800,1.45,1711663
50,2022-03-15,56200,57400,55900,56700,1.61,1854930
51,2022-03-16,56800,57200,56000,56900,0.35,1238650
52,2022-03-17,58800,59500,57700,57900,1.76,2623254
53,2022-03-18,58000,58100,56500,57500,-0.69,1880064
54,2022-03-21,57100,58000,57000,57400,-0.17,734740
55,2022-03-22,57600,58800,57500,58600,2.09,954488
56,2022-03-23,59400,61400,59200,61100,4.27,1948372
57,2022-03-24,60100,61500,59800,61400,0.49,1651104
58,2022-03-25,61300,61300,60200,60900,-0.81,1298634
59,2022-03-28,60000,61500,59500,61200,0.49,1188794
60,2022-03-29,61200,61700,60200,60600,-0.98,1333984
61,2022-03-30,60900,60900,59800,60000,-0.99,1177556
62,2022-03-31,60000,61500,60000,61300,2.17,1217755
63,2022-04-01,60400,60900,60100,60800,-0.82,973327
64,2022-04-04,60600,61300,60500,61100,0.49,725696
65,2022-04-05,61000,61400,59100,59500,-2.62,1247093
66,2022-04-06,59200,60200,58800,59700,0.34,1007216
67,2022-04-07,59000,59500,57800,58200,-2.51,1289329
68,2022-04-08,58100,58700,57100,58200,0.0,965581
69,2022-04-11,58700,59600,58500,59600,2.41,975267
70,2022-04-12,59900,60800,59500,59600,0.0,1286302
71,2022-04-13,60100,60100,59200,59700,0.17,817833
72,2022-04-14,59100,60300,59000,59800,0.17,1028366
73,2022-04-15,59600,60100,59300,59400,-0.67,583557
74,2022-04-18,58800,59700,58500,59600,0.34,338693
75,2022-04-19,59800,60200,59300,59700,0.17,783668
76,2022-04-20,59500,60800,59300,60000,0.5,1124028
77,2022-04-21,60400,60400,59500,60300,0.5,667395
78,2022-04-22,60500,61900,60000,61900,2.65,1412753
79,2022-04-25,60900,61700,59900,60000,-3.07,1279835
80,2022-04-26,59800,60400,58700,60000,0.0,1291652
81,2022-04-27,58700,59000,57700,57900,-3.5,1348982
82,2022-04-28,58400,59300,57700,59100,2.07,1110701
83,2022-04-29,58900,59000,58100,58500,-1.02,871015
84,2022-05-02,58000,58400,57400,58300,-0.34,820512
85,2022-05-03,58100,59100,58000,58600,0.51,674504
86,2022-05-04,59000,59900,58800,59900,2.22,741239
87,2022-05-06,60300,60300,58800,59600,-0.5,1320921
88,2022-05-09,58800,59500,58400,58900,-1.17,1125149
89,2022-05-10,59100,59300,57000,58000,-1.53,1697920
90,2022-05-11,58200,58200,56500,56900,-1.9,1241097
91,2022-05-12,56800,57900,56600,57700,1.41,1185602
92,2022-05-13,57200,58400,56900,58300,1.04,1067171
93,2022-05-16,58300,58800,58100,58700,0.69,748818
94,2022-05-17,58900,59000,57800,58000,-1.19,903888
95,2022-05-18,58700,58700,57900,58000,0.0,982630
96,2022-05-19,56900,57300,56000,56700,-2.24,1508406
97,2022-05-20,56400,58200,56300,57800,1.94,1511861
98,2022-05-23,57800,58600,56900,58300,0.87,952301
99,2022-05-24,58700,59700,58600,59400,1.89,1393973
100,2022-05-25,59800,60000,59300,59600,0.34,1299004
101,2022-05-26,59100,60000,58500,59200,-0.67,846478
102,2022-05-27,59500,60000,59200,59800,1.01,795280
103,2022-05-30,60000,60700,59900,60000,0.33,694248
104,2022-05-31,59900,61900,59000,60400,0.67,5118979
105,2022-06-02,61200,61200,58000,58200,-3.64,1755182
106,2022-06-03,58600,59000,58100,58200,0.0,705839
107,2022-06-07,57900,58200,57200,57400,-1.37,1206391
108,2022-06-08,57600,57900,57100,57400,0.0,708133
109,2022-06-09,57500,58000,57000,57100,-0.52,1475918
110,2022-06-10,56300,56700,55200,55400,-2.98,2059079
111,2022-06-13,54000,55000,53600,53800,-2.89,1500290
112,2022-06-14,52500,54800,52500,54800,1.86,1447016
113,2022-06-15,54300,54400,53500,54000,-1.46,885694
114,2022-06-16,54500,54700,52800,52800,-2.22,1614577
115,2022-06-17,51900,52800,51300,52100,-1.33,1489401
116,2022-06-20,52600,52800,51100,51400,-1.34,879936
117,2022-06-21,51400,51500,50600,50800,-1.17,1269827
118,2022-06-22,51000,51200,48500,48650,-4.23,2174679
119,2022-06-23,48000,49050,47750,47900,-1.54,2092984
120,2022-06-24,47900,49500,47500,49000,2.3,1710049
121,2022-06-27,49200,49450,48000,48900,-0.2,1490717
122,2022-06-28,49150,49600,48900,49400,1.02,1564781
123,2022-06-29,48900,48950,48100,48100,-2.63,960371
124,2022-06-30,48300,48850,47700,48150,0.1,1649204
125,2022-07-01,49050,49050,47850,48200,0.1,1143171
126,2022-07-04,47950,48400,46400,46950,-2.59,1216585
127,2022-07-05,47400,47500,46700,47300,0.75,1133267
128,2022-07-06,46850,47250,45150,45650,-3.49,1669350
129,2022-07-07,45950,46650,45050,46050,0.88,1410437
130,2022-07-08,46150,47500,45600,47000,2.06,1302116
131,2022-07-11,46700,47200,46400,46850,-0.32,675000
132,2022-07-12,46200,46400,45800,46100,-1.6,725990
133,2022-07-13,46150,46550,45000,45300,-1.74,1437189
134,2022-07-14,44950,45950,44450,45350,0.11,1419749
135,2022-07-15,44650,44800,43300,44050,-2.87,2008703
136,2022-07-18,45050,46400,44800,46150,4.77,1387055
137,2022-07-19,46200,46850,45650,46300,0.33,834092
138,2022-07-20,47550,49100,47500,48500,4.75,1870634
139,2022-07-21,48350,48800,47350,48650,0.31,1301353
140,2022-07-22,48250,48400,47500,47750,-1.85,1581406
141,2022-07-25,47550,48250,47500,47850,0.21,749779
142,2022-07-26,47550,48100,47500,47700,-0.31,489170
143,2022-07-27,47150,47750,46900,47700,0.0,804421
144,2022-07-28,47900,48450,47500,47650,-0.1,1059330
145,2022-07-29,48000,48500,47750,48450,1.68,1254767
146,2022-08-01,48350,48600,47700,47950,-1.03,910505
147,2022-08-02,47950,47950,47250,47500,-0.94,970460
148,2022-08-03,47450,47850,47250,47700,0.42,748775
149,2022-08-04,47700,48200,47650,48100,0.84,1026040
150,2022-08-05,48500,50900,48100,50400,4.78,1859355
151,2022-08-08,50400,50900,49650,50600,0.4,899185
152,2022-08-09,50700,51300,50300,50900,0.59,584252
153,2022-08-10,51100,51400,50100,50800,-0.2,736930
154,2022-08-11,51900,52400,51300,52200,2.76,1626239
155,2022-08-12,52900,53400,51600,52200,0.0,1160975
156,2022-08-16,52400,52700,51600,51800,-0.77,1489312
157,2022-08-17,52100,52400,51500,51900,0.19,694130
158,2022-08-18,51300,51600,50600,50700,-2.31,972080
159,2022-08-19,50700,51200,50100,50800,0.2,1068855
160,2022-08-22,50000,50200,49000,49750,-2.07,962389
