,date,open,high,low,close,close_cr,vol
0,2021-12-27,128500,129000,126000,126000,-1.56,2684135
1,2021-12-28,126500,128000,124500,127500,1.19,4086063
2,2021-12-29,127500,128500,125500,127000,-0.39,3832154
3,2021-12-30,131000,133500,130000,131000,3.15,5172987
4,2022-01-03,132000,132500,128000,128500,-1.91,3782213
5,2022-01-04,129500,130000,127500,128500,0.0,3622369
6,2022-01-05,129000,129000,121500,125500,-2.33,7414954
7,2022-01-06,123500,127000,123000,125000,-0.4,3725569
8,2022-01-07,127000,129000,126500,127000,1.6,3270119
9,2022-01-10,126500,127000,123000,124500,-1.97,3449197
10,2022-01-11,125500,128500,124500,128000,2.81,3958787
11,2022-01-12,129500,130000,126500,128500,0.39,3552174
12,2022-01-13,128500,130000,128000,129500,0.78,4155984
13,2022-01-14,128500,129000,126000,128500,-0.77,3769648
14,2022-01-17,127500,128000,124500,127000,-1.17,3730393
15,2022-01-18,126500,127500,125000,126500,-0.39,3607850
16,2022-01-19,123500,128500,123500,127000,0.4,4094609
17,2022-01-20,126000,126500,123500,125000,-1.57,5441986
18,2022-01-21,121500,122500,118000,119000,-4.8,6465040
19,2022-01-24,116500,120500,116500,119000,0.0,4883822
20,2022-01-25,118000,120000,116500,118000,-0.84,5702595
21,2022-01-26,119000,119500,117500,117500,-0.42,3416240
22,2022-01-27,119500,119500,111000,113500,-3.4,6679404
23,2022-01-28,115000,121500,114500,120500,6.17,4776510
24,2022-02-03,124500,127000,124000,124000,2.9,5171178
25,2022-02-04,125500,127000,124000,124500,0.4,3037097
26,2022-02-07,123000,123500,119500,123000,-1.2,4804261
27,2022-02-08,124500,126000,123500,125000,1.63,4054097
28,2022-02-09,127000,128000,124500,126000,0.8,4339337
29,2022-02-10,129000,131000,127000,129500,2.78,7269729
30,2022-02-11,130500,132500,130000,132000,1.93,6057207
31,2022-02-14,130000,132500,129500,132500,0.38,4962205
32,2022-02-15,131500,132000,127000,127000,-4.15,5097120
33,2022-02-16,131000,132500,130000,130500,2.76,3499809
34,2022-02-17,130500,134000,130000,133000,1.92,5433402
35,2022-02-18,131500,133000,129500,131500,-1.13,3108887
36,2022-02-21,129000,130500,127000,130000,-1.14,4048108
37,2022-02-22,127000,129500,126000,128500,-1.15,3179806
