date,time,price,change,change(%),amount,volume
2022-06-21,15:50:00,58500,▼ 200,-0.34,9519,24902181
2022-06-21,15:40:00,58500,▼ 200,-0.34,30683,24892662
2022-06-21,15:30:00,58500,▼ 200,-0.34,1023141,24861979
2022-06-21,15:10:00,58600,▼ 100,-0.17,525832,23838838
2022-06-21,15:00:00,58600,▼ 100,-0.17,734634,23313006
2022-06-21,14:50:00,58500,▼ 200,-0.34,1066665,22578372
2022-06-21,14:40:00,58500,▼ 200,-0.34,931508,21511707
2022-06-21,14:30:00,58700,0,0.0,510839,20580199
2022-06-21,14:20:00,58900,▲ 200,0.34,426974,20069360
2022-06-21,14:10:00,59000,▲ 300,0.51,282401,19642386
2022-06-21,14:00:00,59000,▲ 300,0.51,750328,19359985
2022-06-21,13:50:00,59100,▲ 400,0.68,583779,18609657
2022-06-21,13:40:00,58900,▲ 200,0.34,218874,18025878
2022-06-21,13:30:00,58800,▲ 100,0.17,447539,17807004
2022-06-21,13:20:00,58700,0,0.0,323131,17359465
2022-06-21,13:10:00,58700,0,0.0,596707,17036334
2022-06-21,13:00:00,58800,▲ 100,0.17,315801,16439627
2022-06-21,12:50:00,58900,▲ 200,0.34,206660,16123826
2022-06-21,12:40:00,58700,0,0.0,822761,15917166
2022-06-21,12:30:00,58800,▲ 100,0.17,373405,15094405
2022-06-21,13:40:00,58900,▲ 200,0.34,218874,18025878
2022-06-21,13:30:00,58800,▲ 100,0.17,447539,17807004
2022-06-21,13:20:00,58700,0,0.0,323131,17359465
2022-06-21,13:10:00,58700,0,0.0,596707,17036334
2022-06-21,13:00:00,58800,▲ 100,0.17,315801,16439627
2022-06-21,12:50:00,58900,▲ 200,0.34,206660,16123826
2022-06-21,12:40:00,58700,0,0.0,822761,15917166
2022-06-21,12:30:00,58800,▲ 100,0.17,373405,15094405
2022-06-21,12:20:00,58700,0,0.0,842354,14721000
2022-06-21,12:10:00,58500,▼ 200,-0.34,709493,13878646
2022-06-21,12:00:00,58400,▼ 300,-0.51,944802,13169153
2022-06-21,11:50:00,58300,▼ 400,-0.68,100353,12224351
2022-06-21,11:40:00,58400,▼ 300,-0.51,128931,12123998
2022-06-21,11:30:00,58400,▼ 300,-0.51,206335,11995067
2022-06-21,11:20:00,58400,▼ 300,-0.51,388049,11788732
2022-06-21,11:10:00,58500,▼ 200,-0.34,228956,11400683
2022-06-21,11:00:00,58500,▼ 200,-0.34,685107,11171727
2022-06-21,10:50:00,58500,▼ 200,-0.34,236352,10486620
2022-06-21,10:40:00,58400,▼ 300,-0.51,214129,10250268
2022-06-21,10:30:00,58500,▼ 200,-0.34,537649,10036139
2022-06-21,10:20:00,58400,▼ 300,-0.51,456356,9498490
2022-06-21,10:10:00,58500,▼ 200,-0.34,410980,9042134
2022-06-21,10:00:00,58400,▼ 300,-0.51,765485,8631154
2022-06-21,09:50:00,58500,▼ 200,-0.34,520539,7865669
2022-06-21,09:40:00,58500,▼ 200,-0.34,1370775,7345130
2022-06-21,09:30:00,58800,▲ 100,0.17,590472,5974355
2022-06-21,09:20:00,58900,▲ 200,0.34,859983,5383883
2022-06-21,09:10:00,58600,▼ 100,-0.17,1578902,4523900
2022-06-21,09:00:00,58800,▲ 100,0.17,2936746,2944998
2022-06-21,08:30:00,58700,0,0.0,8252,8252
