시간,현재가,등락,등락률(%),체결량,거래량
06/20 15:50,58700,"▼ 1,100",-1.84,6340,33882616
06/20 15:40,58700,"▼ 1,100",-1.84,31386,33876276
06/20 15:30,58700,"▼ 1,100",-1.84,737827,33844890
06/20 15:10,58700,"▼ 1,100",-1.84,608550,33107063
06/20 15:00,58500,"▼ 1,300",-2.17,1193691,32498513
06/20 14:50,58400,"▼ 1,400",-2.34,750173,31304822
06/20 14:40,58300,"▼ 1,500",-2.51,406133,30554649
06/20 14:30,58200,"▼ 1,600",-2.68,660258,30148516
06/20 14:20,58200,"▼ 1,600",-2.68,503835,29488258
06/20 14:10,58200,"▼ 1,600",-2.68,419541,28984423
06/20 14:00,58300,"▼ 1,500",-2.51,540185,28564882
06/20 13:50,58100,"▼ 1,700",-2.84,288311,28024697
06/20 13:40,58100,"▼ 1,700",-2.84,160924,27736386
06/20 13:30,58200,"▼ 1,600",-2.68,409930,27575462
06/20 13:20,58200,"▼ 1,600",-2.68,774893,27165532
06/20 13:10,58200,"▼ 1,600",-2.68,340668,26390639
06/20 13:00,58300,"▼ 1,500",-2.51,737711,26049971
06/20 12:50,58300,"▼ 1,500",-2.51,540193,25312260
06/20 12:40,58300,"▼ 1,500",-2.51,239175,24772067
06/20 12:30,58500,"▼ 1,300",-2.17,693872,24532892
06/20 13:40,58100,"▼ 1,700",-2.84,160924,27736386
06/20 13:30,58200,"▼ 1,600",-2.68,409930,27575462
06/20 13:20,58200,"▼ 1,600",-2.68,774893,27165532
06/20 13:10,58200,"▼ 1,600",-2.68,340668,26390639
06/20 13:00,58300,"▼ 1,500",-2.51,737711,26049971
06/20 12:50,58300,"▼ 1,500",-2.51,540193,25312260
06/20 12:40,58300,"▼ 1,500",-2.51,239175,24772067
06/20 12:30,58500,"▼ 1,300",-2.17,693872,24532892
06/20 12:20,58300,"▼ 1,500",-2.51,97566,23839020
06/20 12:10,58200,"▼ 1,600",-2.68,265139,23741454
06/20 12:00,58400,"▼ 1,400",-2.34,89328,23476315
06/20 11:50,58300,"▼ 1,500",-2.51,464343,23386987
06/20 11:40,58300,"▼ 1,500",-2.51,509699,22922644
06/20 11:30,58200,"▼ 1,600",-2.68,578582,22412945
06/20 11:20,58200,"▼ 1,600",-2.68,1172837,21834363
06/20 11:10,58400,"▼ 1,400",-2.34,130007,20661526
06/20 11:00,58400,"▼ 1,400",-2.34,685869,20531519
06/20 10:50,58200,"▼ 1,600",-2.68,558057,19845650
06/20 10:40,58300,"▼ 1,500",-2.51,881677,19287593
06/20 10:30,58300,"▼ 1,500",-2.51,541082,18405916
06/20 10:20,58400,"▼ 1,400",-2.34,547902,17864834
06/20 10:10,58300,"▼ 1,500",-2.51,1058554,17316932
06/20 10:00,58400,"▼ 1,400",-2.34,2299470,16258378
06/20 09:50,58500,"▼ 1,300",-2.17,2232890,13958908
06/20 09:40,58700,"▼ 1,100",-1.84,932335,11726018
06/20 09:30,58800,"▼ 1,000",-1.67,976977,10793683
06/20 09:20,58700,"▼ 1,100",-1.84,1801707,9816706
06/20 09:10,58800,"▼ 1,000",-1.67,2681823,8014999
06/20 09:00,58900,▼ 900,-1.51,5329376,5333176
06/20 08:30,59800,0,0.0,3800,3800
