parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.8,0.8,0.9
importance_type,split,split,split
learning_rate,0.0015,0.0015,0.0015
max_depth,-1,-1,-1
min_child_samples,20,20,20
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,300,300,400
n_jobs,-1,-1,-1
num_leaves,8,8,8
objective,binary,binary,binary
random_state,42,42,42
reg_alpha,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0
silent,warn,warn,warn
subsample,0.3,0.2,0.2
subsample_for_bin,200000,200000,200000
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0,1.0
cv,,,
scoring,,,
num_col,76.0,45.0,35.0
best_score,0.686218487394958,0.686218487394958,0.6921008403361345
best_index,348.0,522.0,711.0
acc_train,0.7790697674418605,0.7790697674418605,0.7965116279069767
acc_val,0.6744186046511628,0.6744186046511628,0.6511627906976745
acc_test,0.5370370370370371,0.5370370370370371,0.5555555555555556
precision,0.8571428571428571,0.8571428571428571,0.8
recall,0.2,0.2,0.26666666666666666
f1score,0.32432432432432434,0.32432432432432434,0.4
roc,0.5791666666666666,0.5791666666666666,0.5916666666666666
tn,23.0,23.0,22.0
fp,1.0,1.0,2.0
fn,24.0,24.0,22.0
tp,6.0,6.0,8.0
acc_test1,0.6111111111111112,0.6111111111111112,0.6666666666666666
precision1,1.0,1.0,1.0
recall1,0.2222222222222222,0.2222222222222222,0.3333333333333333
f1score1,0.3636363636363636,0.3636363636363636,0.5
roc1,0.6111111111111112,0.6111111111111112,0.6666666666666666
tn1,9.0,9.0,9.0
fp1,0.0,0.0,0.0
fn1,7.0,7.0,6.0
tp1,2.0,2.0,3.0
acc_test2,0.4444444444444444,0.4444444444444444,0.5
precision2,1.0,1.0,1.0
recall2,0.23076923076923078,0.23076923076923078,0.3076923076923077
f1score2,0.375,0.375,0.47058823529411764
roc2,0.6153846153846154,0.6153846153846154,0.6538461538461539
tn2,5.0,5.0,5.0
fp2,0.0,0.0,0.0
fn2,10.0,10.0,9.0
tp2,3.0,3.0,4.0
acc_test3,0.5555555555555556,0.5555555555555556,0.5
precision3,0.5,0.5,0.3333333333333333
recall3,0.125,0.125,0.125
f1score3,0.2,0.2,0.18181818181818182
roc3,0.5125,0.5125,0.4625
tn3,9.0,9.0,8.0
fp3,1.0,1.0,2.0
fn3,7.0,7.0,7.0
tp3,1.0,1.0,1.0
