,date,splrcd,open,high,low,volume,splrcd_cr
0,2021-12-27,1617.449951171875,1607.6300048828125,1623.0400390625,1605.6500244140625,2419300,nan%
1,2021-12-28,1619.3399658203125,1621.280029296875,1627.3699951171875,1615.5400390625,2288900,0.12%
2,2021-12-29,1621.56005859375,1622.5999755859375,1626.280029296875,1611.8599853515625,1940100,0.14%
3,2021-12-30,1615.4200439453125,1617.27001953125,1630.030029296875,1614.3399658203125,2425400,-0.38%
4,2021-12-31,1610.760009765625,1615.77001953125,1622.1800537109375,1610.0400390625,2079200,-0.29%
5,2022-01-03,1655.1700439453125,1639.5899658203125,1655.2900390625,1630.0999755859375,3527900,2.76%
6,2022-01-04,1644.0699462890625,1656.7099609375,1666.030029296875,1634.8499755859375,5900700,-0.67%
7,2022-01-05,1600.6099853515625,1643.02001953125,1645.550048828125,1600.469970703125,5144600,-2.64%
8,2022-01-06,1595.3599853515625,1596.3399658203125,1606.43994140625,1572.030029296875,3831200,-0.33%
9,2022-01-07,1569.02001953125,1597.8299560546875,1601.6600341796875,1564.4100341796875,3747200,-1.65%
10,2022-01-10,1559.6800537109375,1551.4000244140625,1560.239990234375,1515.010009765625,3962900,-0.60%
11,2022-01-11,1575.8199462890625,1557.9300537109375,1579.9599609375,1546.8800048828125,3414000,1.03%
12,2022-01-12,1585.81005859375,1586.02001953125,1595.06005859375,1573.219970703125,3329700,0.63%
13,2022-01-13,1552.8599853515625,1591.81005859375,1597.7900390625,1550.2099609375,4384200,-2.08%
14,2022-01-14,1545.9000244140625,1545.6600341796875,1552.72998046875,1524.93994140625,4385300,-0.45%
15,2022-01-18,1516.219970703125,1526.0699462890625,1529.699951171875,1510.3199462890625,3850600,-1.92%
16,2022-01-19,1488.8399658203125,1520.8399658203125,1527.1500244140625,1488.2900390625,4020200,-1.81%
17,2022-01-20,1459.9200439453125,1495.97998046875,1514.5699462890625,1457.7099609375,4149800,-1.94%
18,2022-01-21,1414.6700439453125,1454.699951171875,1459.5999755859375,1413.0,480045600,-3.10%
19,2022-01-24,1431.8299560546875,1383.2900390625,1433.6500244140625,1349.739990234375,6004700,1.21%
20,2022-01-25,1405.9000244140625,1414.5799560546875,1427.760009765625,1389.0400390625,4054000,-1.81%
21,2022-01-26,1401.3499755859375,1436.719970703125,1448.510009765625,1383.4000244140625,4365100,-0.32%
22,2022-01-27,1369.52001953125,1410.219970703125,1416.5,1367.27001953125,4042800,-2.27%
23,2022-01-28,1401.0699462890625,1370.93994140625,1401.0699462890625,1348.93994140625,3959400,2.30%
24,2022-01-31,1454.449951171875,1405.8699951171875,1454.81005859375,1403.449951171875,3843400,3.81%
25,2022-02-01,1463.56005859375,1457.77001953125,1465.6199951171875,1434.030029296875,3711100,0.63%
26,2022-02-02,1455.8699951171875,1473.449951171875,1473.449951171875,1441.6500244140625,4269400,-0.53%
27,2022-02-03,1403.8900146484375,1419.3299560546875,1437.1300048828125,1401.9000244140625,355390900,-3.57%
28,2022-02-04,1456.3299560546875,1447.3499755859375,1474.550048828125,1401.9000244140625,4794300,3.74%
29,2022-02-07,1453.1700439453125,1461.1099853515625,1479.1800537109375,1447.8399658203125,3267200,-0.22%
30,2022-02-08,1474.97998046875,1451.81005859375,1477.8900146484375,1441.22998046875,3986200,1.50%
31,2022-02-09,1491.3800048828125,1486.3900146484375,1502.06005859375,1485.31005859375,3262900,1.11%
32,2022-02-10,1464.9000244140625,1478.8199462890625,1493.2900390625,1456.31005859375,3547300,-1.78%
33,2022-02-11,1423.52001953125,1464.699951171875,1470.9300537109375,1416.72998046875,4009300,-2.82%
34,2022-02-14,1431.8199462890625,1423.780029296875,1451.0799560546875,1416.18994140625,3329200,0.58%
35,2022-02-15,1461.56005859375,1443.1300048828125,1463.6300048828125,1443.1300048828125,3021900,2.08%
36,2022-02-16,1465.449951171875,1454.5899658203125,1469.8699951171875,1446.43994140625,2819300,0.27%
37,2022-02-17,1427.7900390625,1458.2900390625,1465.489990234375,1426.3499755859375,2752700,-2.57%
38,2022-02-18,1417.739990234375,1430.0999755859375,1435.510009765625,1403.949951171875,3444100,-0.70%
39,2022-02-22,1374.6199951171875,1405.3399658203125,1408.97998046875,1357.97998046875,3898500,-3.04%
40,2022-02-23,1327.6300048828125,1382.6500244140625,1388.260009765625,1325.510009765625,3857300,-3.42%
41,2022-02-24,1361.3900146484375,1280.93994140625,1363.5999755859375,1273.219970703125,5046600,2.54%
42,2022-02-25,1387.0799560546875,1366.1400146484375,1387.1300048828125,1346.4599609375,3478300,1.89%
43,2022-02-28,1395.4599609375,1380.6700439453125,1401.6500244140625,1371.1700439453125,3789300,0.60%
44,2022-03-01,1376.75,1391.18994140625,1398.8900146484375,1367.1300048828125,4192200,-1.34%
45,2022-03-02,1403.510009765625,1382.4599609375,1408.9300537109375,1376.3599853515625,4357000,1.94%
46,2022-03-03,1371.3299560546875,1404.7099609375,1413.25,1364.4300537109375,3709400,-2.29%
47,2022-03-04,1350.5999755859375,1367.469970703125,1367.469970703125,1336.3800048828125,4135500,-1.51%
48,2022-03-07,1285.7900390625,1354.9100341796875,1356.2900390625,1285.719970703125,4971700,-4.80%
49,2022-03-08,1286.510009765625,1284.280029296875,1326.4100341796875,1273.1300048828125,4757000,0.06%
50,2022-03-09,1324.22998046875,1314.219970703125,1331.7099609375,1311.3299560546875,3683200,2.93%
51,2022-03-10,1339.5899658203125,1329.989990234375,1344.22998046875,1318.5999755859375,3410100,1.16%
52,2022-03-11,1315.5799560546875,1352.5999755859375,1352.969970703125,1314.4200439453125,2856900,-1.79%
53,2022-03-14,1292.550048828125,1314.0999755859375,1323.93994140625,1285.3299560546875,3488100,-1.75%
54,2022-03-15,1336.3399658203125,1297.6800537109375,1340.81005859375,1297.6800537109375,3288900,3.39%
55,2022-03-16,1381.1199951171875,1349.6300048828125,1381.25,1338.5400390625,3966500,3.35%
56,2022-03-17,1406.8599853515625,1374.050048828125,1406.8800048828125,1367.6099853515625,2985500,1.86%
