,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-17,-0.9529866000454236,-2.0592592592592593,-0.7026609442060086,-0.16608996539792387,-1.0485731633272617,-3.090589270008795,-2.156156156156156,1.0,-0.9529411764705882,-1.0,-1.02880658436214,-1.0,-0.56,-0.54,0.41,0.68,2.34,3.98,-1.21,-1.36,0.33,0.59,0.06,2.33,0.08,5.43,8.27,5.74,-5.51,2.07,-1.01,2.44,-0.17,-0.45,-0.57,-0.65,0.19,0.89,0.53,-0.84,0.78,-0.49,0.09,-0.25,1.13,-0.77,-0.42,0.92,-0.31,-0.023076923076923078,-0.015238095238095238,-0.005905511811023622,0.00196078431372549,-0.4272212615770898,-1.192414947016174,-1.5321442320030796,-1.403855122027048,-2.0507193721842754,-0.903420523138833,1.303294573643411,-1.3307560137457044,1.0,-1.1364928909952607,-1.4497991967871486,-0.9533333333333334,-1.0,-1.0430101346325777,-1.006637168141593,0.2739719639992848,-1.8348046389400308,1.0296540362438185,1.7866811044937692,-2.0114393892704143,-1.7009385740514509,0.3541703559412116,-1.9399005112290555,-1.304002120328651,-0.01537608899883074,-1.3435314777788356,2.340182648401822,4.984288655325597,5.737704918032792,8.910327015015769,1.4278803411070562,-1.412496307410573,1.8275933356910266,-1.7974785419451411,-2.5166970005902565,-0.38946010020529104,-0.2008321421890876,0.4094969146762048,-1.7879615346778324,-0.8713395466828434,-1.634549301119324,1.1706445203516902,-2.0826705041102915,-2.4327405158895994,-0.3778428695235983,-1.8081157973048698,-0.5412267992271336,-0.7789618260404765,-1.356174709367629,-0.12221121487852127,-0.017408123791102514,-0.015238095238095238,-0.013671875,-0.02480916030534351,-0.1325979732759394,4,0,0,0,0,0
2022-01-19,0.6127852729794477,0.029827003380393718,1.5785636164783083,-1.3297872340425532,-0.5578970718722271,-0.03322565759113982,6.090694935217903,-0.11764705882352941,-0.38130155820348305,-1.0,1.7195767195767195,-1.8,-1.51,-1.5,0.59,-2.5,-0.58,-0.3,-1.46,-0.89,0.23,-2.6,-1.79,-4.44,-1.83,3.67,4.3,1.79,18.76,1.92,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,-0.011764705882352941,-0.015625,-0.01616161616161616,-0.021956087824351298,0.14203819188906536,11.358454106280194,-2.24885459368218,0.3612394149345651,-0.9313969571230982,-9.304166666666667,-0.11863693731594446,14.636363636363637,-0.4915254237288136,3.6875,-0.875,-37.714285714285715,-1.0,-2.0633553799980464,-2.028397565922921,1.0002617057369747,-1.8350252578234698,3.612012987012986,4.787234042553196,-2.825848710928522,-1.974042177159041,0.22015511692590506,-2.025481439896511,-1.7358125537403266,-2.2194031151780433,-1.7531583895325689,4.573340769659792,8.009082464650636,10.077519379844949,12.21074108713616,4.0306836920210865,-3.279739813002161,2.8589895188918706,-1.553924843150353,-2.3595182433748088,-1.7538056893336162,-1.8443481557635546,-1.3116954723073841,-1.6210222624487087,-1.4676977630486483,-2.1455502304821437,-0.9568832923394743,-1.88687678567819,-1.9370760976709096,-2.1081004245549813,-1.7460782480026107,-2.9012902588718146,-3.0691360282658766,-2.962607500406255,-2.7039782464015274,-0.007874015748031496,-0.025145067698259187,-0.03564356435643564,-0.0410958904109589,0.21930441255531202,1,0,0,0,0,0
2022-01-20,0.04925338128371511,-0.22108515157366287,0.32574579386398983,-1.2620967741935485,-0.515805318615153,-2.926968973747017,-0.3546511627906977,-10.466666666666667,-0.5244444444444445,-0.0,-0.9241245136186771,-2.2083333333333335,-0.96,-0.99,-0.23,-1.13,-0.67,-4.11,-1.06,-0.77,-0.38,-1.15,-1.03,-3.09,-0.97,-1.14,0.43,21.13,4.65,1.79,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,-0.041666666666666664,-0.025793650793650792,-0.022587268993839837,-0.02040816326530612,0.22422330755664088,0.692220400958265,-0.19785245575661164,2.4185198687568357,-0.913563829787234,-0.7859361135758651,-2.8629441624365484,3.5759717314487633,-9.352941176470589,-0.7057745187901008,-1.0,-0.7936507936507936,-0.03333333333333333,-2.4592472248910986,-2.4751368868029946,0.35623509223124006,-3.605148838625908,-1.2461059190031163,-4.402834008097164,-2.5054806752594616,-1.6546163365813893,-0.15630383448599566,-3.7162583927822075,-2.803587732960954,-7.394232134784103,-2.78992461691884,2.487562189054735,4.7438708391468865,23.2974910394265,24.28347950872505,3.7461219292301293,-3.910943242660763,-0.2561099511134437,-1.8233349101019325,-3.691057487069857,-2.276637665001276,-0.7482312250460211,-0.8206244744694607,-3.8241766649418425,-2.178398252872759,-1.5290518204748413,-3.9257710209012546,-2.1480432869291306,-3.1779365003918847,-3.0709551321057993,-3.9898711035400374,-3.169370814727939,-3.4089243057157117,-4.860017208875226,-5.458870459628732,-0.052941176470588235,-0.041015625,-0.03838383838383838,-0.041916167664670656,0.3981097726304373,2,1,1,0,0,0
2022-01-21,-0.5501080396393712,0.05280118988596926,-0.8038818385411113,30.73846153846154,-0.20414507772020726,-0.8540995788952193,0.33256113256113257,-1.0070422535211268,-2.769470404984424,-1.0,0.41025641025641024,2.5517241379310347,-0.89,-0.84,0.24,-1.28,0.83,2.75,2.66,0.72,0.36,-1.3,-1.09,-3.25,-1.1,-2.31,-2.29,4.65,7.3,-0.07,-0.63,-0.9,-0.58,-1.94,-1.24,0.14,-0.72,-1.33,-1.14,-1.43,-2.37,-0.51,-1.29,-0.21,-1.41,-1.25,-0.98,-1.13,-1.65,-0.012422360248447204,-0.010183299389002037,-0.004201680672268907,0.00625,-0.08282310569330932,-0.527949339379251,-0.17995752075690288,-0.7399971723455394,-9.318548387096774,-0.6146512794781737,-1.281145584725537,-0.14003322259136214,-0.9333333333333333,-1.8414814814814815,-1.0,-0.8929961089494164,-5.291666666666667,-1.8464981608795263,-1.8236478629569755,0.0020882143017971794,-2.4003682756806524,0.15667841754798292,-1.4720812182741074,1.5636597376368955,-0.05446675554663782,-0.02263790255640458,-2.432503497460058,-2.1110199617172545,-6.237591108796717,-2.066920962829953,-3.413333333333336,-1.8729096989966614,26.7605633802817,12.286086549267509,1.720708434334472,-2.2681790067697665,-1.5507021971334098,-1.02181162011359,-3.7131767056005884,-2.32550340687743,0.6024286771213236,-0.045438352989902175,-2.684794885800186,-1.3257980087474597,-1.6403510366962673,-4.5544827332776,-1.2598053062876953,-2.455120896236741,-1.4386265329696521,-2.5731416728777887,-2.284777073025471,-1.7350596115188541,-2.1695736026190873,-4.7363674199734636,-0.05357142857142857,-0.03571428571428571,-0.026694045174537988,-0.014285714285714285,0.12282933116266449,3,0,0,0,0,0
2022-01-24,2.228055647565419,-1.9792794914056981,11.90810222947254,-1.1871061560833738,1.9166666666666667,22.95925297113752,0.18215182538149507,-1.0,-1.8080985915492958,-1.0,-2.9454545454545453,-1.174757281553398,-1.3,-1.33,-0.09,-2.79,-0.66,0.36,-1.65,-0.99,0.01,-2.72,-1.89,-1.72,-1.89,-2.24,-1.08,-5.56,12.74,-2.03,-2.02,-1.95,-1.06,-3.1,-0.97,-0.18,0.02,-1.93,-3.88,-2.49,-2.33,-2.86,-3.98,-1.27,-2.15,-2.62,-1.93,-1.58,-3.23,0.0020964360587002098,-0.00823045267489712,-0.008438818565400843,-0.014492753623188406,0.27525637733911285,0.45227628343640564,-2.030986613782846,1.5315132771675375,-6.938461538461539,1.3212435233160622,2.495665097844934,0.5752895752895753,-1.0,0.42990654205607476,1.4285714285714286,-3.7435897435897436,-1.6206896551724137,-2.1790088336176616,-2.1569750787739905,0.1424100386534686,-4.0376492500083145,0.15772870662460584,3.123345685547906,0.9583414646005907,-0.28111199994433933,0.36864652857851254,-3.9841666266015436,-2.967342653478477,-4.911145460824992,-2.974567371755838,-4.530744336569583,-3.3491912464319604,-1.1627906976744036,20.964360251686845,-2.0929159544450746,-2.63117306828397,-2.8346111076596,-1.6388892799945782,-4.981725610390522,-2.191356101698191,-0.03998248021398819,-0.7083083856676378,-3.23628872180661,-4.977342224953866,-3.8901924985636467,-4.648155474468331,-3.3568449292316713,-5.219175566421201,-1.4793567344749947,-3.53085357263744,-3.8338229120342375,-2.884616460083285,-2.69573143714489,-4.832099566254104,-0.010351966873706004,-0.018329938900203666,-0.012605042016806723,-0.008333333333333333,0.16963568361268874,4,0,0,0,0,0
2022-01-25,-0.9428454158329486,-0.5268093291656648,-0.8686915494144409,-15.33419689119171,1.3977678571428571,-0.6888463718820862,-0.9122549019607843,-1.0,6.6383442265795205,-2.2058823529411766,-0.6448598130841121,-0.7777777777777778,0.29,0.28,0.28,0.52,-0.16,-0.93,-2.91,-1.49,0.26,0.63,0.31,1.31,0.28,0.2,-5.36,-4.23,3.64,-2.15,0.24,0.55,-0.37,1.21,0.53,-1.03,-0.35,0.33,0.43,0.02,0.94,0.13,0.39,1.65,0.61,1.39,1.43,0.84,0.97,-0.010460251046025104,-0.014522821576763486,-0.01702127659574468,-0.012605042016806723,-0.28714055616087925,-0.8155018217952965,-1.463385919472569,0.6949429037520392,1.6820164808531266,5.993489583333333,6.455008488964347,-0.8962719721846629,-210.0,-7.172535211267606,1.0,-1.690909090909091,-1.0388349514563107,-1.0107638677909878,-1.0486480240351284,0.1838626327990884,-2.290950744558992,-0.15735641227380032,-0.9302325581395358,-4.516531474041342,-2.469012719843876,0.26584592677075575,-2.1116944750400797,-1.5866808201575506,-0.4234937786143501,-1.619548801734645,0.33898305084745795,-4.410316991533772,0.0,16.842514420643788,-4.131189763231534,-1.7841734012907289,-1.4147364679632262,-1.4249844434624177,-1.9240839939914705,-0.4363529548400442,-1.2090422324153434,-0.3384299115036881,-1.6059187472672143,-3.469669501446736,-2.4692488040904124,-1.4139781737819725,-2.7386180882061177,-3.6001514012512983,0.35423636860849633,-1.5553254269683772,-1.2588851684065392,-0.5225215887399033,-0.7498096719737845,-2.295824589866366,-0.008385744234800839,-0.02263374485596708,-0.02531645569620253,-0.026915113871635612,-0.0909214480977481,0,0,0,0,0,0
2022-01-26,5.090664272890485,-0.5863821138211383,1.5152390118703882,-1.4404482197722754,-0.7741575125674921,-0.6643133682532453,-1.1936685288640596,-1.0669856459330143,-0.881061038220194,-0.8780487804878049,4.421052631578948,-10.0,-0.19,-0.2,0.03,-2.48,1.5,2.24,-2.84,-2.56,0.06,-2.28,-1.24,-3.71,-1.22,0.0,5.8,13.53,4.21,2.75,0.47,3.96,-0.66,-1.81,-0.93,-1.57,-1.13,-2.34,-2.24,-0.86,-0.3,-1.03,-1.95,-0.96,-2.77,-1.66,-1.31,-1.41,0.49,-0.010570824524312896,-0.008421052631578947,-0.012987012987012988,-0.00851063829787234,0.15091957269359207,-0.6518906161818275,-0.8042798749699447,-0.6697278624989469,5.313471502590674,-0.45848214285714284,-0.8955498866213152,-1.0169934640522875,1.0,-0.0915032679738562,-1.1470588235294117,0.9252336448598131,-3.0,0.09443754428184888,0.08197441227274058,0.3053241583183103,-1.9807299067687936,1.3375295043273112,1.2919896640826827,-5.664737182746325,-4.018648229877343,0.32200987832386463,-1.6677407096229946,-0.9339407744874715,-2.443815792279425,-0.9431709918075201,0.2257336343115126,0.12670565302145018,8.732394366197191,8.006930451987408,0.5402855153515355,0.7082264272739411,4.532206954508129,-1.026221315697343,-0.6199339251428319,-0.40438296377067046,-2.579631222452011,-1.48481218600826,-2.01159323141922,-1.8131747553556017,-0.8334010589707838,0.6408289778795542,-0.9042916005940035,-1.5618525692792482,0.6713640993747615,-2.176996076828643,-0.2859764581538969,0.10433806100846486,-0.5753889487797773,1.4658005992835808,-0.02092050209205021,-0.022821576763485476,-0.029787234042553193,-0.02100840336134454,-0.17955611350608744,1,0,0,0,0,0
2022-01-27,0.5917464996315401,-16.782555282555283,-1.0957908163265306,-1.5652441526466967,0.427040395713108,-1.8819538670284939,-5.038461538461538,-0.8214285714285714,1.774580335731415,-1.2,5.106796116504855,0.08333333333333333,-0.38,-0.38,0.49,0.13,-0.12,0.15,-0.83,-0.41,0.06,0.02,-0.17,1.68,-0.15,5.44,12.57,3.63,2.57,2.04,0.27,-0.17,-0.44,-0.32,-0.82,-0.71,-0.67,0.72,-0.79,-1.02,-0.8,-1.38,-0.71,-0.36,0.93,-1.03,-1.67,-1.16,0.28,0.0,-0.0021231422505307855,0.0021929824561403508,-0.017167381974248927,-0.24489354023818116,8.694793536804308,-7.527947154471545,-1.2409367982034007,-0.7510392192300741,-0.6777136473654813,-1.2960601229788202,-0.21787709497206703,-1.0119617224880382,-0.6699942954934398,-1.024390243902439,32.10526315789474,-10.75,-0.5715495824179022,-0.5780515575278078,0.5203288226765832,-2.361906075443073,1.3790386130811718,2.3995826812728245,-3.6388460421896003,-2.9641837308604946,0.12044262665295417,-2.2591615399671814,-1.4135679818336644,-2.0962931132762144,-1.3650391258307537,5.46171171171171,19.093717816683846,17.64705882352941,6.889630408776713,4.849359061241026,0.7348061591548474,3.781575028634697,-1.1038025004653054,-2.128743035432473,-1.7507553295603928,-2.265840908334166,-1.7980007914671274,-1.631770032527225,-3.004876353337503,-1.867114674638102,-1.098537389099879,-2.4009997692911225,-2.647161254263217,-1.314325160853584,-1.8649458654165416,-2.665096695720225,-2.9546299909825167,-2.5510761342804424,0.7707840617083996,-0.010570824524312896,-0.010526315789473684,-0.010822510822510822,-0.02553191489361702,-0.13093319599275638,2,0,0,0,0,0
2022-01-28,-0.1725,-1.3940219506499572,-19.30093209054594,-0.38874773139745916,1.0808781051415366,-9.883846153846154,-1.0714285714285714,-1.0,-0.7381158167675022,2.0,-1.2416534181240064,0.2564102564102564,-0.02,-0.04,0.87,-1.21,1.52,3.11,-3.73,-3.5,0.56,-1.4,-0.55,-4.78,-0.54,-3.72,2.75,2.5,-4.6,-0.85,-0.92,1.24,0.14,-2.27,-0.93,0.78,0.58,-0.69,0.29,0.36,-2.04,-1.34,-2.08,-1.29,-0.99,-1.38,-0.31,-1.8,-1.2,-0.029914529914529916,0.0,-0.01312910284463895,-0.008733624454148471,0.40481743452494745,0.3171702284450995,5.218673218673219,0.753061224489796,-1.3455067706196142,1.969497114591921,6.835142469470828,-0.7115384615384616,-1.0,-0.2733812949640288,-1.6,-2.4757281553398056,0.3611111111111111,-0.39929527953687716,-0.4153868655843206,1.3697724773779723,-1.089051146509202,1.3975155279503118,3.2653061224489828,-4.520824548287075,-3.8928207545789775,0.6202198353324757,-1.3775446503243274,-0.7185559898827316,-3.1887459761624743,-0.6874863707835467,1.5202702702702653,15.662416042051962,6.217616580310872,-2.1501928099322183,1.1799090586851075,-0.6579289997155654,1.069376515523572,-0.3059091252647943,-2.5876665659760985,-1.743781833386776,0.06744794843064277,-0.09868755563690866,0.025620864380807185,-0.4983051185343588,-0.6608644642047973,-2.8293710042253726,-2.709311647080148,-2.7750245699964657,-1.6492505493668128,-0.06511531050235346,-2.388952309553424,-1.9714776739748325,-2.9371222102727153,-0.9308214033018936,-0.029914529914529916,-0.0021231422505307855,-0.010964912280701754,-0.02575107296137339,0.06078671959581378,3,1,1,1,1,1
2022-02-07,-0.8191566140839261,-1.5244879786286731,0.4838802533103051,2.018939393939394,1.387878787878788,-0.4931174089068826,-0.2943820224719101,1.0,2.0495049504950495,-1.0,-1.2623655913978495,-1.2291666666666667,-0.06,0.02,0.11,1.33,1.99,1.27,1.26,1.57,-0.1,1.58,0.53,0.6,0.52,4.34,9.49,16.1,-4.64,2.26,1.66,1.58,-0.41,3.74,-1.07,-0.8,-1.2,0.47,0.14,-1.72,1.64,1.15,3.77,1.06,0.77,-1.36,0.06,0.44,2.0,-0.015021459227467811,-0.016913319238900635,-0.006535947712418301,0.002173913043478261,-0.3092085001539883,-0.7786471479050985,-1.3834635416666667,-4.073941562313656,-4.302486187845304,2.2295081967213113,2.5168539325842696,-3.0933333333333333,1.0,-2.2900523560209423,-1.0,-0.6737967914438503,0.1,-1.5144541649983752,-1.4482136819564972,-0.4742734280909964,-2.838334050084356,1.1196911196911337,0.251256281407041,3.4369379366708945,3.263568264158142,-0.10087872876127894,-2.216326930659256,-1.8515484188104212,-4.005922896200409,-1.9344913843445162,8.18746470920384,14.484558503697267,23.316062176165794,5.115433014762654,4.5887098621548414,0.4825254444302405,0.5222761051646824,-0.8571306929893562,0.03159354468755133,-2.7223316030886435,-1.2349201145537616,-1.1893952320592824,-2.6069433537568942,-6.697525092606795,-3.4603331885060657,0.91126790381979,-0.39915383746808203,0.21205068229279392,-0.17470504285018457,-4.065158930345443,-3.0020917577707436,0.8075197239393755,-1.7230733563518932,0.9442103983903155,0.011013215859030838,0.0,0.02702702702702703,-0.00646551724137931,-0.47650297230879063,4,0,0,0,0,0
