parameter,value1
boosting_type,dart
class_weight,
colsample_bytree,0.6000568421245674
importance_type,split
learning_rate,0.0006885907876058295
max_depth,38
min_child_samples,37
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1854
n_jobs,-1
num_leaves,7
objective,binary
random_state,
reg_alpha,1.2000000000000002
reg_lambda,0.0
silent,warn
subsample,0.4488857071819565
subsample_for_bin,225635
subsample_freq,0
verbose,0
boost_from_average,True
force_col_wise,true
max_bin,138
metric,binary_logloss
scale_pos_weight,0.9000000000000001
cv,5
scoring,f1
num_col,100
iterations,10
best_score,0.5637037037037037
best_index,3.0
acc_train,0.765625
acc_val,0.6458333333333334
acc_test,0.6166666666666667
precision,0.8333333333333334
recall,0.42857142857142855
f1score,0.5660377358490566
roc,0.6542857142857142
tn,22.0
fp,3.0
fn,20.0
tp,15.0
acc_test1,0.65
precision1,1.0
recall1,0.4166666666666667
f1score1,0.5882352941176471
roc1,0.7083333333333334
tn1,8.0
fp1,0.0
fn1,7.0
tp1,5.0
acc_test2,0.75
precision2,0.8571428571428571
recall2,0.6
f1score2,0.7058823529411764
roc2,0.7500000000000001
tn2,9.0
fp2,1.0
fn2,4.0
tp2,6.0
acc_test3,0.45
precision3,0.6666666666666666
recall3,0.3076923076923077
f1score3,0.42105263157894735
roc3,0.510989010989011
tn3,5.0
fp3,2.0
fn3,9.0
tp3,4.0
