,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2020-01-02,5560.0,923.0,-6285.0,-4659.0,-2096.0,1375.0,-187.0,48.0,-779.0,13.0,-194.0,-3.0
1,2020-01-03,8622.0,864.0,-9760.0,-7244.0,165.0,-1824.0,66.0,-6.0,-928.0,11.0,202.0,72.0
2,2020-01-06,2098.0,2879.0,-5116.0,-4026.0,202.0,-1487.0,-38.0,0.0,313.0,-80.0,149.0,-10.0
3,2020-01-07,5307.0,-2864.0,-2085.0,-519.0,-418.0,-800.0,-160.0,0.0,-188.0,0.0,-352.0,-7.0
4,2020-01-08,3130.0,1605.0,-4946.0,-5018.0,-739.0,1401.0,-397.0,1.0,-165.0,-29.0,219.0,-8.0
5,2020-01-09,1789.0,-3056.0,1248.0,821.0,-562.0,-72.0,-38.0,-2.0,1101.0,0.0,25.0,-6.0
6,2020-01-10,-9596.0,12413.0,-2735.0,-7536.0,1232.0,2977.0,548.0,8.0,38.0,-2.0,-84.0,3.0
7,2020-01-13,918.0,1220.0,-2149.0,-1484.0,114.0,-1338.0,213.0,85.0,261.0,0.0,2.0,9.0
8,2020-01-14,-209.0,3515.0,-3675.0,-1215.0,-593.0,-1005.0,-458.0,37.0,-441.0,0.0,371.0,-2.0
9,2020-01-15,800.0,2238.0,-3076.0,-1782.0,-922.0,-1224.0,611.0,-173.0,432.0,-17.0,45.0,-8.0
10,2020-01-16,-1733.0,-757.0,2892.0,3264.0,-505.0,430.0,-136.0,-10.0,-112.0,-40.0,-401.0,0.0
11,2020-01-17,582.0,3404.0,-4128.0,-516.0,329.0,-4046.0,575.0,0.0,-616.0,146.0,122.0,20.0
12,2020-01-20,5254.0,-1933.0,-3263.0,-1578.0,58.0,-1241.0,220.0,528.0,-1725.0,475.0,-89.0,31.0
13,2020-01-21,-4982.0,4152.0,813.0,1314.0,508.0,26.0,-993.0,480.0,-50.0,-472.0,17.0,-1.0
14,2020-01-22,-233.0,6755.0,-6617.0,291.0,-428.0,-948.0,-5495.0,75.0,-728.0,618.0,95.0,0.0
15,2020-01-23,4908.0,7865.0,-12822.0,-1365.0,-1647.0,-8519.0,167.0,-70.0,-1369.0,-20.0,15.0,34.0
16,2020-01-28,-4883.0,20003.0,-15182.0,-1801.0,-1591.0,-8075.0,-3948.0,-3.0,235.0,0.0,52.0,9.0
17,2020-01-29,-43393.0,16136.0,28879.0,-3411.0,12259.0,10738.0,3385.0,3015.0,1303.0,1591.0,-1296.0,-325.0
18,2020-01-30,579.0,-2729.0,2009.0,-2117.0,1911.0,2230.0,-1846.0,0.0,341.0,1489.0,145.0,-4.0
19,2020-01-31,-5235.0,5828.0,-1016.0,-6518.0,84.0,3686.0,70.0,-20.0,1672.0,9.0,426.0,-2.0
20,2020-02-03,8226.0,-9982.0,1253.0,-3008.0,944.0,3069.0,-699.0,-15.0,1253.0,-292.0,500.0,3.0
21,2020-02-04,23270.0,-10861.0,-14079.0,-9893.0,-844.0,-2618.0,-1259.0,21.0,100.0,413.0,1643.0,28.0
22,2020-02-05,-1503.0,3924.0,-2505.0,-10880.0,534.0,7382.0,-1109.0,0.0,1519.0,50.0,73.0,12.0
23,2020-02-06,357.0,5082.0,-5496.0,361.0,-1215.0,-3041.0,-2333.0,9.0,418.0,306.0,74.0,-18.0
24,2020-02-07,-2115.0,5341.0,-3678.0,-5163.0,-60.0,2239.0,-8.0,0.0,-661.0,-24.0,446.0,6.0
25,2020-02-10,5384.0,-2185.0,-3533.0,-1452.0,-784.0,-723.0,133.0,0.0,-738.0,30.0,329.0,5.0
26,2020-02-11,-1653.0,1612.0,-507.0,3274.0,-3108.0,96.0,43.0,0.0,-701.0,-111.0,550.0,-1.0
27,2020-02-12,829.0,-1560.0,521.0,2794.0,-625.0,-816.0,-467.0,-9.0,-356.0,0.0,160.0,50.0
28,2020-02-13,11802.0,2127.0,-14390.0,-811.0,-3602.0,-7896.0,-640.0,554.0,-1777.0,-218.0,455.0,6.0
29,2020-02-14,32072.0,-16740.0,-16527.0,-2616.0,-5664.0,-4607.0,-574.0,0.0,-3040.0,-26.0,1155.0,40.0
30,2020-02-17,3879.0,389.0,-4444.0,-840.0,-1019.0,-1835.0,-479.0,0.0,-643.0,372.0,121.0,55.0
31,2020-02-18,13160.0,3524.0,-17649.0,-3314.0,-831.0,-13687.0,160.0,288.0,-275.0,9.0,899.0,66.0
32,2020-02-19,11769.0,-6314.0,-6492.0,2600.0,-2647.0,-5216.0,-217.0,-259.0,-742.0,-11.0,969.0,68.0
33,2020-02-20,5034.0,368.0,-6047.0,562.0,-2609.0,-3732.0,-147.0,121.0,-242.0,0.0,646.0,-1.0
34,2020-02-21,3314.0,-1421.0,-2079.0,-4513.0,-4.0,2044.0,-115.0,-23.0,532.0,0.0,166.0,20.0
35,2020-02-24,-6114.0,-1744.0,7444.0,-292.0,2040.0,5422.0,1424.0,-1172.0,34.0,-12.0,415.0,-2.0
36,2020-02-25,2403.0,1410.0,-4065.0,-1694.0,-2041.0,833.0,-147.0,5.0,-1005.0,-17.0,215.0,37.0
37,2020-02-26,1528.0,-5334.0,3509.0,-309.0,184.0,2512.0,-55.0,-58.0,664.0,571.0,295.0,1.0
38,2020-02-27,-5930.0,-8391.0,14383.0,-3570.0,6674.0,5318.0,2832.0,100.0,2141.0,889.0,-25.0,-37.0
39,2020-02-28,-2025.0,-6629.0,8004.0,3611.0,1573.0,822.0,-824.0,50.0,2707.0,65.0,639.0,11.0
40,2020-03-02,-864.0,-1985.0,2425.0,8.0,2574.0,-1115.0,-28.0,394.0,593.0,0.0,411.0,13.0
41,2020-03-03,6177.0,-827.0,-6034.0,-5222.0,-200.0,-217.0,-134.0,0.0,-261.0,0.0,651.0,33.0
42,2020-03-04,17960.0,45180.0,-63951.0,-4406.0,-21588.0,-24133.0,546.0,-236.0,-11207.0,-2927.0,814.0,-3.0
43,2020-03-05,8127.0,19931.0,-28784.0,-4550.0,-12178.0,-25.0,-5652.0,-20.0,-3947.0,-2412.0,694.0,31.0
44,2020-03-06,-2085.0,8654.0,-6847.0,-5019.0,-1981.0,2968.0,-1653.0,-144.0,62.0,-1080.0,267.0,11.0
45,2020-03-09,-3569.0,2604.0,532.0,-4053.0,-632.0,5743.0,-867.0,0.0,-183.0,523.0,433.0,1.0
46,2020-03-10,-4825.0,-1835.0,6543.0,4012.0,-138.0,3038.0,-392.0,-187.0,146.0,65.0,126.0,-9.0
47,2020-03-11,-324.0,8085.0,-8017.0,-2369.0,-1986.0,-3350.0,-470.0,0.0,336.0,-177.0,256.0,1.0
48,2020-03-12,7360.0,4752.0,-13387.0,-126.0,-4245.0,-7121.0,-1321.0,0.0,-393.0,-181.0,1278.0,-3.0
