,date,open,high,low,close,close_cr,vol
0,2021-12-27,27800,27800,26300,26500,-4.16,2956549
1,2021-12-28,26450,26800,25200,25500,-3.77,6618850
2,2021-12-29,26200,27650,26050,27600,8.24,5332646
3,2021-12-30,27600,27600,26700,26900,-2.54,2187686
4,2022-01-03,27150,27650,26600,27300,1.49,1832655
5,2022-01-04,27250,27600,26900,27300,0.0,1215935
6,2022-01-05,27300,28350,27050,27450,0.55,3298920
7,2022-01-06,27000,27400,26200,26300,-4.19,2358598
8,2022-01-07,26250,26500,25850,26400,0.38,1489092
9,2022-01-10,26150,26500,25900,26200,-0.76,1470458
10,2022-01-11,25950,26450,25500,25750,-1.72,1472434
11,2022-01-12,25750,26450,25750,26350,2.33,1286258
12,2022-01-13,26500,26750,26000,26250,-0.38,1336667
13,2022-01-14,26000,26050,25000,25200,-4.0,2718361
14,2022-01-17,25250,26200,25000,25050,-0.6,2819887
15,2022-01-18,25050,25300,24600,24700,-1.4,1536216
16,2022-01-19,24250,24900,24100,24350,-1.42,1464531
17,2022-01-20,24300,25050,24050,24400,0.21,1376154
18,2022-01-21,24350,24800,24200,24650,1.02,1798166
19,2022-01-24,24650,24800,23450,23800,-3.45,2743341
20,2022-01-25,23850,23950,22100,22150,-6.93,4036255
21,2022-01-26,22000,23350,21900,22750,2.71,3436960
22,2022-01-27,22800,23200,21900,21900,-3.74,2740061
23,2022-01-28,21950,22300,21100,21900,0.0,3075846
24,2022-02-03,22400,23100,22300,22950,4.79,3034754
25,2022-02-04,22700,23250,22400,23200,1.09,1414297
26,2022-02-07,23300,23300,22300,23200,0.0,2415889
27,2022-02-08,23650,24650,23500,24400,5.17,4150951
28,2022-02-09,24800,25150,24350,24450,0.2,1784104
29,2022-02-10,24700,25050,24050,24650,0.82,2399578
30,2022-02-11,24200,24700,23850,24350,-1.22,1452809
31,2022-02-14,24750,25550,24050,25000,2.67,4203112
32,2022-02-15,25800,27850,25250,25250,1.0,14360070
33,2022-02-16,26050,26250,25200,25250,0.0,4684836
34,2022-02-17,25500,28100,25500,27800,10.1,23023534
35,2022-02-18,27350,29800,27150,29600,6.47,21056162
36,2022-02-21,29550,30700,29350,30100,1.69,12412495
37,2022-02-22,29600,32200,29500,30750,2.16,20910236
38,2022-02-23,31350,32200,30350,30750,0.0,11710334
39,2022-02-24,30900,31550,30250,30550,-0.65,9962246
40,2022-02-25,31050,31500,29250,29900,-2.13,10706138
41,2022-02-28,29450,30100,28400,28850,-3.51,8087679
42,2022-03-02,28800,29850,28650,29100,0.87,5277280
43,2022-03-03,29400,31100,29250,31000,6.53,8387135
44,2022-03-04,31350,37650,31050,35400,14.19,54417778
